text,target,stance
Good morning! Up and out early for the @bbcwales #sundaysupplement and a first time @WEPSouthWales has been invited on. Will post #listenagain link later if you want to hear me talk #instamums #metoo and #diversityonboards https://t.co/TuqlalYbx8,metoo movement,NONE
"As I prepare to answer this question, I realize I have essentially no knowledge about the theory of evolution, besides Darwinism and the title. But the title itself is enough for me to know that it hasn't been scientifically proven: it is the THEORY of evolution. Much like the Big Bang THEORY. While it is probable that these events happened, it is not certain. And while I believe that they have happened, it is not certain.",creationism,AGAINST
@notabarrister @scrufflove pfft...we're getting that next week #standard #SemST,climate change is a concern,NONE
"RT @MsMacAttack321: Is it a possibility NYC who is keeping their families under a lockdown, afraid to go out in the sunshine the cause of tÉ",lockdown in new york state,NONE
...Congress is the primary legislative organ of the State.,gay rights,FAVOR
"The private insurance industry has wrecked our healthcare system by enriching hospitals, doctors and most of all themselves, with the result that we have the most expensive healthcare system in the world. Along with this we rate poorly in health statistics compared to most industrialized countries. Why dismantle a very successful product like Medicare.",medicare,FAVOR
"Exactly. There's no doubt that AI will continue to evolve, and the exciting possibility is that a new kind of intelligence that humans don't do well, or don't do at all, will be discovered. But simply trying to mimic human intelligence seems like a waste of time, like reinventing the wheel. Until computers decide unbidden to start writing lyrics like The Sound Of Silence and weep at the music, I'm not too concerned about AI replicating what we do.",ai,AGAINST
"I used to teach Quantitative Reasoning. One of the databases we used to analyze was birth rate by country. That was over ten years ago, but it showed my students how high birth rates would become unsustainable in small countries without similar economic growth rates. The same countries we identified as problems back in that course are in the center of the refugee and problematic youth crises now. Just divide the birth rate (in percentage) into 70 and you get the population doubling time. How can an economically stressed country every imagine handling the doubling of its population in less than a generation? It doesn't make any sense to talk about overall wealth in the world, either, when people have no realistic prospect of any future access to it without migrating. I would try migrating too if I were in such a country.",economic growth,AGAINST
"School sports teams should consist of kids who attend that school, not those who are home schooled or who attend private schools. Home schooling is a choice and choices have consequences. There are kids sports leagues not affiliated with any school (at least here in California) and those are the leagues home schooled kids should be playing for.",home-schoolers,AGAINST
"""the Bible is clear that homosexuality is a sin"" I was raised Catholic and was taught that ""sin"" was a choice of rejecting good for evil that demanded repentance and absolution. Your logic demands that LBGTQ individuals deny who they are at the most fundamental level. All your smooth words and easy evasions about love and acceptance cannot erase or soften the perniciousness of your point of view. Close your Bible and think about what is right from a morality centered on humanity instead of one centered on dogma, and then have the courage to follow your head and your heart.",christians,AGAINST
"Mr. Lister is clearly exhibiting his biases and obfuscating facts. Firstly, the so-called 'Syrian' opposition is and has been all along, largely made up of non-Syrians, imported into Syria for the sole purpose of regime change. Secondly, and perhaps most importantly, most of the opposition is made up of ultra-religious jihadi groups, affiliated with al-Qaeda and others. It defies comprehension that anyone in the Western intelligentsia or media would advocate any of these groups over Assad or the government of Syria, or the Kurds who are opposed to all of these groups. What is the game plan here? Is it ISIS and/or jihadi control of Syria, governed b the invisible hand of Saudi Arabia, which is not known for its democratic tendencies? If so, you should go live with the 'opposition' and see how long you last.",kurds,AGAINST
"I'm done, done, done...now no libraries, no free TV, no land-line telephones, no albums, no compact discs, no books, no coffeemaker: get a Keurig, no trash bins on the subway platform, no Doobie Brothers... no Pluto...Fahrenheit 451 here we come.. Just the peace of the library where one can sit and think and talking is discouraged...libraries are an oasis...and the best part is you can walk around and look at books and take some home for free, oh my.",libraries,FAVOR
. Do alcohol and marijuana affect some users negatively? Absolutely. Should minors be allowed to legally consume either one? No. But the war on drugs is a failure. All it does is promote violence and enrich big time drug dealers and the utterly corrupt interdiction apparatus both in the U.S. and abroad. I don't endorse the use of either marijuana or alcohol. But making them illegal protects no one.,the war on drugs,AGAINST
"I have worked internationally for 15 years and knowing French, German, and Russian was a life saver. I learned French along with English in school, German came from my in-laws, and Russian was my first language and it came from my grandparents. When I was in college in the 1980s, everyone was required to take at least 1 year of a foreign language. Each major had its own language option(s). And yes, my major's options were French, Russian, and German. I took Russian so I could get better at reading and writing. Languages should start in elementary school, at least the very basics. In middle school, it would be great if students had options of French or German. Then in High School, options should include Mandrin, Korean, Hindi, Spanish, Arabic, as well as French, German, Italian, and Russian. Our students are at a huge disadvantage in the global workforce by not having them speaking another language. We need to teach them the languages such as French and German, which are languages used around the world.",offering more languages in schools,FAVOR
Since going into lockdown weÕve also failed one other key point of recovery from this virusÑherd immunity. For if 2.5 million New Yorkers were able to fight it off without any treatment at allÑunaware they even had itÑhow much more immunity did we miss out on by having a lockdown,lockdown in new york state,AGAINST
"The professor writes: ""the ban is ruining the mood and spirit of the game. It's hard to enjoy any sports narrative if we don't know who is clean and who isn't."" why not get rid of professional sports and everyone just smokes a joint to enjoy an explosion of amateurism? In that way, our professor won't have his beautiful stories spoiled?",doping,FAVOR
"If libraries were used for information only, those who are there for the computers benefit from the librarians, who know where to find appropriate info. But there is so much more at the library--music and book cds, dvd films, magazines and much more. I have used and owned computers for many years, but I value the library as much as much as ever.",libraries,FAVOR
Is this a real question??? Of course they are...and taxpayers are paying them to do it. How many times does one have to say free public education for all is the necessary underpinning of a democratic society. That does not include funding private schools or charter schools.,cherry-picking students,AGAINST
"This article screams entitlement. After a year, you're an expert? Having been in the trenches of education reform for 25 years before becoming a classroom teacher a few years ago, I can tell you that your youthful arrogance is extremely naive. Whatever talk Washington is talking today will be different than the talk Washington will be talking in a few years. In the meantime, y'all keep flitting in and out of these children's worlds and patting yourselves on the back for making such a difference. I used to admire Teach for America back in the day when it was beginning. It is now populated by such an entitled group of self-serving neophytes who believe only they have THE true answer to the problems of public education that I have lost all respect. Oh, and dear - could you a) list each of the ""much easier ways to burnish a resume,"" and b) look the students and their families in the face when you speak of "",,,hard labor in some of the crummiest classrooms in America?"" I'm sure they'd appreciate the reference.",tfa,AGAINST
@JodyBland the real question is do you feel safe driving a Prius through Harrison? #SemST,climate change is a concern,NONE
"#Media merger wars: Comcastâs bid to undercut Disneyâs purchase of Fox.

""The  reason Sky is key has to do with theâ¦ https://t.co/gBkFH1EA9E",merger of disney and fox,AGAINST
"There are pretence, false allegations: Sussanne on #MeToo

 Interior designer and entrepreneur Sussanne Khan has taken a neutral stance on the #MeToo campaign by saying that women shouldnât make false allegation on an individual without any legal evidencâ¦ https://t.co/HgvVPtIdyC https://t.co/oMvm8b19W0",metoo movement,AGAINST
To me this is a simple one Evolution all the way. It is science plain and simple when and if creationists can show evidence for creation beside the bible then and only then should it even be considered. The fact of the matter is all they have are criticisms of evolution which does not amount to evidence of creation.,creationism,AGAINST
"#1, children educated at home turn out to be better socialized than their public schooled counterparts. They are more likely to vote, more likely to get involved in government, and more likely to volunteer for various charitable activities. And, on average, they are better educated. Sending one's children to a public school is on average, the bad decision. While there are good public schools and good public school teachers, there are also countless schools where children do not learn, are not safe (from other students and teachers), and do not get properly socialized. I know this from countless studies and personal experience. My three children, educated at home from birth, are all national merit finalists and prepared to deal with people in the real world because they were in the real world their entire lives, rather than being segregated by age and demographic in a public (aka government compulsory) school. And, I am the graduate of the esteemed Miami-Dade County Public School system, possibly the most corrupt, crime ridden, drug-infested institution in the country.",children educated at home,FAVOR
"Patterson and Fosse are mistaking the University of Chicago for Economics in general. The problem in policy is that in disagrees strongly, especially in Europe, with mainstream economic thought. And a major contributor to European problems, the euro, is the result of ignoring warnings from economists who study money.",economists,AGAINST
"@BustedOpenRadio This is also tied to the Disney/20th Century Fox deal.   FOX TV (FOX, FOX Sports and FOX News) wilâ¦ https://t.co/FY6xDDYhED",merger of disney and fox,NONE
"It seems obvious to us that free, basic health care and education are the two social services that should be available to everybody. Free education is, from an macro economical stand point, a much better investment than the US model because it increases the productivity of the population at large. Free health care lowers the general cost to the GDP from 16% to 7%, the average in Europe. If this was applied, the US would free up 9% of its GDP or $1.5 trillion, each year, for disposal income.",college,FAVOR
 You see a building and you HAVE PROOF there is a builder...  /   /> You see a car and you HAVE PROOF there is a builder...  />   /> When you see creation there must be a CREATOR...  />   /> Faith.,creationism,FAVOR
"@RudyGiuliani Stop pretending the Governor that gave us free thugs on the streets without having to pay any bail is the solution.
You know what he did in Nursing Homes.
in Hospitals all over NY.
With his crazy lock down.
Cuomo isn't the good guy. 
https://t.co/QEFQnr9zKY",lockdown in new york state,AGAINST
Which one is it.  Either God created the Earth 6k yrs ago or God did not (either not creating it or creating it at some other time).,creationism,AGAINST
"No. Government should not rank colleges. Look how badly No Child Left Behind turned out. But the government should encourage more transparency. Students should know what courses they will take, how many students will be in the class, who is teaching, and where students get jobs.",college,AGAINST
"It almost incomprehensible (well, maybe it is too sadly comprehensible) to me that after a sickening attack on the LGBT community inspired entirely by Islam, or by interpretations of Islam adopted by many Muslims, that the New York Times decides that the issue that needs to be debated is whether CHRISTIANITY inspires hatred against gays. Certainly there are prejudices among certain Christians against gays, but none have them rise, for instance, to government imposing the death penalty for homosexual acts, as is the case in many Muslim countries. If you wanted to intentionally promote demagogues like Donald Trump, you couldn't to a better job. His type gains strength every time the media so consciously ignores the truth as it has down here, and by ignoring the truth gives credence to his distorted messages. Nice job.",a harmful atmosphere for gays,AGAINST
"It is arbitrary and misguided to criticize RGB for these comments she made outside of work while we apparently tolerate/tolerated some of the clearly patronizing and uninformed (and if you're not feeling generous, downright sexist, racist, classist, and homophic) lines of questioning from conservative judges like Roberts and Scalia during actual hearings. Why censure RGB for saying she thinks a certain candidate threatens the institution she represents if we're not going to censure others for saying during court that poor black folks are categorically unworthy/unprepared equal education opportunities or that gay people perhaps are worse parents than no parents at all?",ruth bader ginsburg,AGAINST
"A lot of folks have their head in the sand re pot usage. I believe we'll see long-term damage to society and public health from widespread use. Just as tobacco studies took years to prove cancer correlation, I believe time will show the harmful results of these rushes to legalization. The deniers will continue to push the same arguments: prohibition is bad; there's no proof of ill effects, etc., etc., but truth will prevail and be validated by time passing.",marijuana,AGAINST
"Yes, America needs to get its house in order. Our population is growing by about 30 million per decade!!! Just about all of the population growth results from immigration. So let's reduce immigration and also focus on reducing consumption. Without reduced immigration all our environmental efforts to be more efficient and consume less are swamped and irrelevant.",overcrowding,AGAINST
"No they should not be able to patent a human gene. They didn't create it. The gene has been there all along. Certainly the company owns the testing mechanism they develop. If someone developed a technique to alter genes so they are not destructive to us, that method is theirs to patent. But the ownership of the gene belongs to the people who carry them.",genetics,AGAINST
"The fact that the newspaper of record can host a debate on the proposed expansion of off-shore drilling, with all we know about climate change, with the history of the BP disaster, should be all the proof anyone needs that we have a sick, greed-driven group of people making and reporting on our energy and economic policies. Unless the people rise up and challenge this insanity, people like Rob Whittman will see to it that we leave our children with a very bleak future.",economy,NONE
"A lifelong New Yorker, I agree entirely with Mr. Moss about the detrimental effects of hosting the Olympics that a city suffers. Now, as a professor of urban policy and planning at New York University's Institute for Public Service, I hope he will turn his attention to the devastating effects of NYU's expansion on neighborhood life and architectural scale in our city.",olympics,AGAINST
"The Celeb angle (Clint Eastwood versus George Clooney?) and the rise of the primary system have cheapened the whole convention thing so as to be meaningless. The wives form an integral part of the content-free agenda. It's a media riot, the conventions provide fodder for the media. It's a waste of time to actually watch the stuff live- better to time shift and read the views of the pundits at my convenience, rather than staying up late, or missing some good TV shows.",celebrity,AGAINST
"BREAKING: 21st Century Fox has been holding talks to sell most of the company to Disney, sources say. https://t.co/zpWKPI1LWY",merger of disney and fox,FAVOR
Just don't bother to tell me that charter schools are successful because they are better when they succeed by kicking out any child they want to get rid of for any reason they want. And just because the schools you so admire in the past for being run by uneducated sadists doesn't make it right. There's something truly sick about admiring the schools that beat children and kick them out for any behavioral infractions.,charter schools,AGAINST
"I went to a great public school as a child. Every term there'd be some new student in my class who'd just been expelled from a parochial school. Of course, the public school has to take those kids. That taught me as a child why private schools look like they have such a great success rate. They can kick out their lowest performers, while the public schools cannot. Looks like the same with charters, too.",charter schools,AGAINST
"Well stated. There are very talented writers with many different perspectives all of whom help an interested reader go deeper into a particular subject. Thankfully the NYT keeps out the crazies, but then again they probably don't read the paper.",comment sections,AGAINST
"I like this initiative. Wal-Mart is doing a good thing for its customers. Wal-Mart definitely deserves praise for using its power for good for once. Wal-Mart has caused many small businesses to go under and has had serious labor issues over the years. It really owes its customers and employees for their loyalty (even if, in some situations, Wal-Mart is the only game in town) and this healthy food initiative is a wonderful way to start.",walmart,FAVOR
"Several people have commented on Americans being unwilling to pick crops, in part because of low wages and benefits. Why should taxpayers be paying people up to 99 weeks of unemployment benefit so they can sit on their backsides? What happened to the idea that beggers can't be choosers?",worker,AGAINST
 Darwin observed species and wrote it down - evidence!,creationism,AGAINST
Humiliated? Check. Cursed? Check. Spat on? Check. Needs always greater than resources? Check. Yet Mother Teresa inspired thousands of people to join her. To do what most of us will never attempt in our entire lives. To care the people the world forgotten. To make a better place for you and me.,mother theresa,FAVOR
"Interesting tidbit: before Disney came calling, Verizon kicked the tires on buying Fox assets. Which begs the questâ¦ https://t.co/f4Joxo7X48",merger of disney and fox,NONE
UK takeover panel rules Disney must offer to buy all of Sky LONDON (Reuters) - Britain's takeover regulator ruled oâ¦ https://t.co/RYH928Hesw,merger of disney and fox,NONE
"I think we cloud the issue when we talk about learning another language. For people who will never spend more than a few weeks in a Spanish speaking or Francophone country, spending the time to learn to speak the language is of dubious worth. Learning to read and perhaps write the language is altogether another matter. If you can read Spanish, French, etc, you can read the untranslated material from each country. (Translations are always poor.) This would allow you to much better understand the world from their point of view. I no longer speak French very well, but can understand it and read it without too much difficulty. This is sufficient, and does not require a degree.",reading forign languages,FAVOR
"@LouiseBagshawe @counterchekist Offhand, it looks like someone is betting that the deal to merge most of FOXA withâ¦ https://t.co/rUKToDia2d",merger of disney and fox,AGAINST
"Oh puhleez...go rent ""Who Killed the Electric Car?"" Exxon, Chevron, Shell are all playing golf right now figuring out how to stop this. We've had the possible technology since the seventies and then no one wanted to listen to poor Jimmy Carter...so we elected Ronnie Raygun and all was well. If this ever caught on, Exxon would have nothing to sell at their gas stations. Do you really think they will allow that? You will soon be hearing news stories about how bad these are. (a guy who commutes on an E bike...carbon equiv is 1200 miles per gallon.)",electric cars,FAVOR
"the title, ""It's as American as Apple pie"" is childish. It's as if 'smoking is American in 1960 and thus a good thing.' The whole system is broken. Tips range all over the place....Restaurants in America should learn to global system of paying standard wages and tipping should be just a minor thank you. Use to be 10 -15% was a good tip. Now it's 20-30%. Soon it will be considered declasse to tip less then 50%. Wake up and smell the inequity.",restaurants,AGAINST
"Lift the embargo? What for? The Castro brothers and their sycophants are deeply entrenched and are not going anywhere, with or without an embargo. Lifting the embargo will just make them even...wealthier than they already are. Those two despicable hypocrites call themselves Communists and are living in luxury while most on the island struggle everyday to survive. And don't kid yourselves, they have ruled with an iron fist for 54 years and have executed thousands, and thousands of people without batting an eyelash in order to stay in power. Many, many more have perished in the high seas trying to escape. Many lives lost, families destroyed, misery, poverty, hunger, and for what? What kind of a revolution was that?",sanctions,FAVOR
"@realDonaldTrump @NYGovCuomo @NYCMayor Actually you dumb lying fuck, crime is down nationwide because of the lockdown.

New York crime rate is down double digits.

https://t.co/A1VpmXrKrZ",lockdown in new york state,FAVOR
Disney said to have had talks to buy Fox assets - good news for those dreaming of an Avengers and X-Men crossover. https://t.co/q4SqJzsy7O,merger of disney and fox,FAVOR
Conservative members of the GOP are the foremost advocates of privatization. They also deplore government regulation. We saw the result during the Bush administration. Hundreds of billions of taxpayer dollars were wasted on no-bid contracts uncompetitively awarded to corporations linked to Republicans including (especially) Vice President Dick Cheney. There was little to no oversight or accountability. Privatization is just another vehicle for exploitation of the middle class by the greedy rich.,a bad deal for cities and states,AGAINST
"With the Zika virus raging in Brazil, who wants to go there for the Olympics and end up sick with Zika. I think the game should be postpones or moved to another location out of a disease zone. I can't believe anyone in their right mind would want to go to Brazil with an epidemic raging. I will be surprised if attendance is not quite low. It is too risky, from a health point of view to go to those games.",brazil,AGAINST
"yes! you rock gay people. they are people just like we are and if two men want to marry each other, than go for it",gay rights,FAVOR
"This is how we all women at least should have been during the #metoo movement, but perfect world doesn't exist n some women decide to remain patriarch slaves. https://t.co/ipRiIvc56U",metoo movement,FAVOR
" <b 										</tr> 					 										<tr valign=""top""> 											",creationism,FAVOR
"You're right. I am ""pretty"" young. 16. I will take a look at the   science   behind it. Thank you.",gay rights,AGAINST
"From what I have read, MT did not give her patients painkillers, even tho she had the money to buy pain killers A person who would do that is not a good person Why can you not see this ? Surely, if someone you loved was ill with cancer, and the doctor said, I'm not going to give your loved one pain killers because suffering is good for the soul, surely, you would not say that doctor is a good person ????? look into thine own soul, oh seer, and tell us what thou seest",painkiller,AGAINST
"@completenp @teavangelize @susie_NOLA @CT_Bergstrom Braking may make things worse and cause a worse outcome if you hydroplane.  Likewise, the late lockdown increased the death tolls in NYC and Lombardy.",lockdown in new york state,AGAINST
"The key to corporate regulation is not to provide a corporation with full 14th amendment rights, After all if an individual is convicted of breaking a law he/she may be subject to incarceration. Corporate law breakers may be subject to fines but rarely prison terms. The Board of directors is a good place to start handing out personal responsibility.",law,AGAINST
"It is quite sad to see a doctor advocate for government coercion for something that every doctor acknowledges has its risks. How would this doctor propose to enforce this coercion, prison terms for parents who refuse to vaccinate? Stalking the kids and vaccinating them in the street? Providing each child with a vaccine record microchip? It would be one expensive government program to run. It seems a lot more reaction would follow and hence some real outbreaks. Peaceful persuasion seems to be a wiser alternative. Or, if an increased compliance is sought for the more serious diseases, such as pertussis, measles, polio, rubella, then offer separate vaccines that fewer parents would object to and eliminate the ludicrous vaccines from the compulsory list, by ludicrous I mean those that clearly might be doing more harm than good as is the case with the varicella vaccine and the hep B vaccines given routinely to babies of non-carrier mothers. The more such vaccines are forced, the more families react by complete refusal of vaccines.",vaccination,AGAINST
the truly innovative spirit of SValley has not been completely extinguished but it is swamped by the younger generation of ad men and their overvalued aps. The idealists cannot even get a job among this self congratulatory lottery winners. And as true innovation declines so to will the real economic edge. Its as ossified as the google whiteboard which no one can erase cos it has the brainstormed first algorithm.,economy,AGAINST
"Daly writes, ""our goal is to influence it [culture] by presenting a Christ-like example to the world."" When that so-called ""Christ-like example"" includes raising millions of dollars, as Focus on the Family has repeatedly done, to try to restrict the 1138 rights and privileges conferred by civil marriage in this country to opposite-sex couples only, I have to wonder what Jesus Christ would have to say about that. I suspect he would react to Mr. Daly exactly the way he reacted to the Pharisees of his day, who presumed to have everything all figured out and lorded their supposedly superior knowledge of the infinite over everyone else.",christians,AGAINST
"When capital gains resulted in true investment, the argument that lowering it spurred economic grow for our nation made some sense. But capital gains in the 21st century arises much more from gambling. Trading equities in micro seconds, electronic trading that churns thousands of shares a second, looking only at todays, or even only at this minutes gain in the is not investment. Such activity isn't based on searching for companies that will do well in the long haul. Even management of pension funds and IRAs is done primarily for the fees charged by the investment managers who don't care it the funds go up or down, only if they get their piece. So actually capital gains tax rate should not be reduced or eliminated. It should be raised to the same rate charde on gasmbling monies sine it is now exactly the same.",gamble,AGAINST
"No they should not be able to patent a human gene. They didn't create it. The gene has been there all along. Certainly the company owns the testing mechanism they develop. If someone developed a technique to alter genes so they are not destructive to us, that method is theirs to patent. But the ownership of the gene belongs to the people who carry them.",patent on gene,AGAINST
"We heard the same refrain during the run-up to the housing crash. Fed Chair Alan Greenspan claimed businessmen would regulate themselves. They would look at the long-term risks of originating mortgages without due diligence and refuse. We know how that turned out. Even Greenspan later admitted he was wrong, that business cares only about the next quarter and doesn't care how to get there. Sorry, the markets have spoken. Business cannot be trusted, no matter how much hot air their lobbyists spout. Regulation is absolutely necessary.",mortgage crisis,AGAINST
"""Marriage, children, a paying job and a home are the traditional markers of adulthood."" - who made that law? This is just another discriminatory filter used by those who want the future to look just like the past. History is disruptive. Get over it.",tradition,AGAINST
Dr. Hurd does not seem like a YEC... he is on the Earth not created in six days side.My question is:  How can you both believe in a literal Bible and at the same time NOT believe in a six day creation?  Isn't the whole Genesis as six actual days idea A literal interpretation?,creationism,AGAINST
Sea Level Rise above 6 meters - what does that mean? It means 20 ft above current heights. #SemST,climate change is a concern,FAVOR
"Is there any other substance whose legal status is dependent upon ALL users to be completely responsible upstanding citizens? Imagine if we debated outlawing soda because it was found that kids involved in school shootings consumed it. Fortunately, due to Bloomberg's attempts to just limit sizes, I know that the American Beverage Association would be there to remind us that it's not about protecting us from ourselves, but about our choices as Americans! It's not just alcohol that gets a different standard, it's literally everything that's not cannabis.",colorado,FAVOR
"We still haven't addressed the problem of children who come from other countries into America and have not had the advantage of early childhood vaccinations. We are seeing cases of measles, mumps, etc. increase, and this cannot be all the fault of those who have lived with and been in contact daily in this country since birth with their peers who have been vaccinated. I'm old, and when in 1st grade, I contacted German measles. NOT from someone in my class and, in fact, no one seemed to know where I contacted it. I then proceeded to infect almost all my entire class apparently. My point in telling this story is that we cannot know exactly where a child gets his contact, and therefore IMO opinion, vaccinations should be mandatory for every child entering schools from pre-K up. Until everyone - from the child who comes with their parents to America to the kiddo next door, we have to be consistent.",vaccine,FAVOR
"There is no viable evidence that exists that suggest those who are 'rich' are morally above the fray. There is evidence to suggest the contrary via a sense of entitlement and attribution error that may elude others. In any event, Why would they need to be corrupt? They have all the wealth, they have the legal system, they have our system of taxation, they increasingly have control of our judges, they have the lobbyist, they control the politicians, they can buy elections, they run the companies, they enjoy the lowest corporate taxation (effective) rate in history, they enjoy the greatest wealth distribution 'inequality' of any developed nation, they have a work force that works more hours per week than virtually any nation on earth (with less benefits), they enjoy every perk the richest nation on Earth can offer while almost 50% of Americans sit 'at or near poverty'.... What more do 'they' need to corrupt? How much longer will we let them?",rich politicans,AGAINST
"Ms Ravitch states that ""in the early days of the formation of teacher's unions..."". This isn't the early days. There have been a couple of important developments since the early days. One is a body of employment law that protects all workers, including teachers. Second, as in any human endeavor, we've hopefully learned from our mistakes over the passage of time. You cannot achieve the goals of an organization without the focused effort on behalf of the people within the organization and management cannot achieve that effort without the ability to terminate.",tenure,AGAINST
"Anyone who thinks the GOP will become a productive partner with improving the ACA has their head buried in the sand. The GOP had 2 years to provide positive input before the ACA was voted into law, and 3 years since to work in unison for strengthening it. The GOP has done nothing but oppose it, not one thing aside from their perpetual insane negativity. Anyone who thinks the GOP will magically decide to advocate for improving health care if the ACA is delayed, is a just as crazy as the GOP. They want to make medicare a voucher program, outlaw medical malpractice lawsuits, and enable shysters selling substandard insurance in one state to scam consumers across the nation. This has been (and is) the GOP's only suggestions (aside from privatizing the Veterans Administration healthcare program) . They also want to bundle other items into the healthcare debate such as privatizing social security, eliminating the EPA, building the Keystone Pipeline, outlawing abortions, and doing away with public sector unions. Lets move ahead with the ACA, and let the GOP continue blundering around in their corrupt stupidity.",obamacare,AGAINST
"You say this, and yet you use a computer.(by the way, using capital letters for emphasis detracts from the overall argument. Just sayin')",creationism,AGAINST
#Metoo effect!!!!! #MeTooIndia #MeeToo https://t.co/T10m7c0otV,metoo movement,FAVOR
"It's sad an ludicrous that this should even be open to debate...all citizens have the right to an equal education in order to have some chance at equal opportunity, and it seems pretty obvious that schools for the deaf are essential to giving them equal opportunity. So, advocates for closing these schools to cover a budgetary gap would seem to be saying ""hey, it's ok to deny rights to a segment of society if they're not large enough to protest"". Bad enough that our educational system is inadequate as it is, but to deny a whole class of people anything approaching an adequate education is ludicrous. Can anyone on the other side of this issue lay claim to being interested in the needs of all citizens? Oh, I suppose 'the market' will step in and fill this need? Please.",special schools for the deaf,FAVOR
"The Olympics seem like a frivolous project that will benefit a few well placed construction companies. After building the venues they get to walk away with fat bank accounts and the cities get stuck with maintenance and interest expenses. Granted the cities now have an opportunity to use the venues for other events, but those opportunities are few and far between. The publicity generated for the host city seems dubious. Who doesn't alread know about London or Rio?",host cities for olympics,AGAINST
"Delaying the games in Rio and making an international push to beef up Brazil's public health infrastructure--with a particular focus on mosquito-borne illnesses like Zika--would use the Olympic spirit and massive media power for a brilliant purpose. And holding the games instead next summer as Rio 2017 would forever memorialize an international success story, and ensure that Brazil is not punished for the misfortune of the Zika outbreak.  # OlympicPublicHealth",olympics,FAVOR
67 degrees Fahrenheit on July 8th. I love this weather! #PureMichigan #SemST,climate change is a concern,NONE
I'm not a cell expert but lets expand out to the human body. Do you consider the systems that make up your body to be intelligent in function PSTRYDER?,creationism,FAVOR
"What is the outcome of those students expelled from charter schools? Where do they go and where do they end up? I see the extra suspensions in charter schools as a failure of the business model and as a business, they should be liable for the results and restitution from the charter school is in order.",charter schools,AGAINST
"Most people rarely if ever eat in the ""world's best restaurants."" Extrapolating how tipping functions from an expensive midtown Manhattan sushi place to the entire country would be funny if it weren't so insulting to the millions of wait and bar staff who work their butts off at local restaurants in small towns where there's no such thing as ""career advancement"" especially for those with no more than a high school diploma. You present customers as some sort of victims to the exploitative servers bad behaviors and claim tipping resulting from this is not ""capitalism."" Yeah, you never see a ""successful, ethical corporation[s] under the free-enterprise system"" selling people things they don't need or using sex to sell...",workplace,FAVOR
"@NYGovCuomo Remind us again about all the NYers who needlessly died because you and @NYCMayor were bickering as usual and the two of you morons bungled the lockdown? Go ahead dipshit, talk about it on @ChrisCuomo's show where you attempt to divert attention from your failings. Fuck you!",lockdown in new york state,AGAINST
"All this talk of not having enough energy when you're older is nonsense. I had my son at 36 and am now 48. I have just as much energy as I did when I was 25. If you take care of yourself, energy shouldn't be a problem. Frankly, I spend more time with my son than most of the younger mothers in my neighborhood do with their kids. My husband and I aren't as eager to leave him with a babysitter so we can go out at night -- because we did that already in our twenties. In our forties, we are focused on our family.",physical energy after 40,FAVOR
"There's no reason they can't. It's not like they can have biological children without a suragate, and what if they don't like that option? Moreover, the children would just as happy a life with a gay couple as a straight couple.",gay rights,FAVOR
Claiming that Assad and ISIS are both evil suggest a moral equivalence that is unjustified. Assad uses horrible means to stay in power but we should not forget that before the trouble started he was quite popular and many assume that he might win free elections. Daily life in peace under ISIS is fundamentally more troublesome. The trouble with expanding attacks on ISIS to Syria is that it gives Washington a role in the Syrian conflict. We may also see that once Washington starts bombing them many ISIS members will start to call themselves members of Al Nusra or some other Syrian rebel group. In my opinion the only way to go forward is to strive for an agreement between Assad and the moderate opposition. Until now the US has sabotaged such negotiations and supported those rebels who don't want to compromise. But if Washington gets serious about negotiations and presses the other countries supporting the rebels to get similarly serious some compromise should be possible.,the u.s.,AGAINST
"Since Syria is a client of Iran, Iran is the mentor in the relationship, much like Russia mentors Iran. Iran most serious copncern is the United States and Israel desire to stop its nuclear development programs. Syria with its religious war is a diversion, especially if President Obama can be duped to believe that he is saving the world from Syrian atrocities, while what he does is take his eyes of the ball, the ball of Iranian nuclears. No, Iran cannot help the United States in Syria, its goal is to complete its nuclear program without hassle from the United States, and particularly from Israel",the u.s.,AGAINST
"Easy commentary from an academician. I'll wager Ms. Lechner doesn't work in such an environment. In fact I know she doesn't. When did we get to the point where grinding employees into the ground and out the other side is de rigueur? Well that's easily answered. We got there when quarterly profits became the be all and end all for existence. Yes, wouldn't it be scandalous if we went back to a world where people worked to live rather than lived to work? And here is the dirty little secret of all this supposed high performance: when was the last time you went to company and something actually worked the way it was supposed to work? Anybody? People are putting in massive hours and things run more poorly, are managed more poorly and produced more poorly than they ever have been. The formula clearly only works if you are at the top of the food chain raking in multi-million dollar bonuses. For the rest of us... pound sand.",employee,FAVOR
"RT @EJ1469: @NYGovCuomo Do you not understand what we're telling you, the lockdown is over! You and de Blasio allowed the looters to do asÉ",lockdown in new york state,AGAINST
"Basketball is such a boring sport! Here's how they can get me back to watching it. Raise the rim, expand the court, adhere to the rules-that means no pushing and shoving, no palming the ball, and call moving picks and traveling, etc. Fat chance! Guess I'll never see another game, and I don't care!!",basketball,AGAINST
"I live within 35 miles of Yosemite, and prior to retiring here operated a small tour company that provided visits for elderly groups by bus every year. Yes, Yosemite is overcrowded but there has been a steady decline in the number of private tours such as mine. Reason? The Park system restrictions on private motorcoach travel making it difficult for the elderly and the very young to experience the great outdoors. It doesn't make any sense at all, as motorcoach travel is beneficial in reducing the numbers of private cars",restricted access,AGAINST
