Original Text,Predicted Target,Predicted Stance,Ground Truth Target,Ground Truth Stance,Target Match Pct,Stance Match Pct
"After 3 weeks of reinstated mask mandates with no other Bay Area counties following, I think it s time to end the Alameda County Mask Mandate.",new mask mandate,AGAINST,Alameda County Mask Mandate,AGAINST,75,100
"""From Hitler to Neuer"" is Polish right-wing weekly Do Rzeczy's completely normal reaction to the German goalkeeper wearing an LGBT rainbow armband 60 439 1,282",FIFA World Cup,FAVOR,German goalkeeper,NONE,0,0
"You're are there in the government. Actually you had not done anything. Thanks for agreeing that you are non performer. This means when ever you get power you can t develop. So jagadish Da do some progressive politic. JAGADISH BHUYAN jbhuyan65 Jun 3, 2021 ,",Jagadish Bhuyan,AGAINST,jagadish Da,NONE,60,0
"Cost of living off the scale , country being flooded with migrants , covid scam and jab injuries out there . How much more before the people decide enough is enough.",migrants,AGAINST,Flooded with migrants,AGAINST,75,100
"Israel and US speed up joint training development of military capabilities vs. Mideast threats with focus on Iran, army chief Kochavi says CENTCOM chief visits Israeli F-35i squadron, briefed on joint operations planned in various theaters, Air Force says.",Israel,FAVOR,Kochavi ,NONE,0,0
I'd love to hear JoMo explain exactly how a woman saying she would feel uncomfortable getting undressed in a changing room alongside a male person with a penis undermines the terms of either the Equality or Gender Recognition Act.,JoMo,AGAINST,JoMo,FAVOR,100,0
"GFX commissions are open, I offer: Twitter, Twitch and YouTube headers Twitch screens just chatting, brb, etc Twitch panels about me, social links Overlays Webcam borders Instagram posts ""I am live"" posts for various social medias Prices below.",GFX commissions,FAVOR,GFX commissions,FAVOR,100,100
"An obidient told me today that the Nigeria youth started a movement that will clean up the Nigeria Politic system, That alone is an achievement 9 401 1,356",Nigeria Politic system,FAVOR,Nigeria youth,FAVOR,50,100
The problem with Toronto is not that they don't live up to high expectations. It's that they've literally been the least successful team in the league since the reform 15 years ago. Something's wrong.,Toronto,AGAINST,Least successful team,AGAINST,0,100
I don t actually think Tim Martin s position on EU migration is hypocritical. He s always been happy for CE Europe to be a labour pool for his pubs. It s just that he d much rather it was a pool who didn t have the additional rights security of being EU citizens in an EU country.,Tim Martin,FAVOR,position,NONE,0,0
"Couldn t sleep at night because was having a duty,just home after meeting with MS regarding different issues patients and doctors have been facing. Will reply these trolls and their troll in chief Mashwani after I wake up InshaAllah.",trolls,AGAINST,chief Mashwani,AGAINST,0,100
Riding a motorcycle and being in a gang Being in love and women's rights and male hedonism,motorcycle,FAVOR,Women's Right,FAVOR,0,100
"Rock the Vote concert' was a success, attended mainly by youth first time Voters. The platform was utilised to preach peace ahead of Presidential Election. Proudly supported by US, Kerr Fatou and patriotic citizens of our dear Nation.",Rock the Vote concert,FAVOR,Presidential Election.,NONE,30,0
Every shift I see this right when I walk into the women s locker room! It s a great reminder a good way to start my shift! With all the hate in the world right now esp towards policing-we need this trish fergusonp,trish fergusonp,FAVOR,women s locker room,NONE,0,0
"Today I seen the new Disney's Cruella movie in cinemas at vuecinemas and in my opinion this has to be my favourite Disney Live Action Movie Of All Time after 10 mintues of the movie I felt in love with the story, characters, build-up and music. Disney",Disney,FAVOR,Disney's Cruella movie,FAVOR,80,100
"Tathan Martell is going to UNLV. Somehow he still has 2 years left of eligibility. Then again, Nick Starkel, the guy he called ass, my dude is also still in CFB. Tua, who was in the same class as Martell, will be in his 3rd year in the NFL when Tathan graduates. 18 75 1,347",Tathan Martell,FAVOR,UNLV,AGAINST,0,0
"Making A Living As A Writer: Interview with Mark London Williams, Author of The Danger Boy Series. Mark London Williams has a chat with him about his writing career, making a living as a writer, his Danger Boy series, and his life during the COVID pandemic.",Making A Living As A Writer,FAVOR,COVID pandemic,NONE,0,0
"As most G7 economies target Hybrid Electric Vehicles HEV by 2030, western oil traders are turning to Africa as the market segment that ll offer them a sanctuary hence this fiery attempt to wrestle the oil industry from black oil traders and of course assisted by our pathetics",western oil traders,AGAINST,Hybrid Electric Vehicles,FAVOR,0,0
"The Biden White House s ceremony for the marriage equality bill was a bizarre carnival. Everybody seemed to forget that gays lesbians have had this right for 7.5 yrs that the majority on both sides support it. Also, u can t have a same sex marriage if you don t have a gender. 74 491 1,794",Biden White House,AGAINST,gays lesbians,FAVOR,0,0
NBA POD via BetUS Official Sixers vs Bulls Ov 231 -110 Odds: BetUS Official 2 high paced teams in their respective situation! Lots of buckets! No money in your Bet account? 50 no deposit bonus: 3 23 103 14.8K,NBA POD via BetUS Official Sixers vs Bulls Ov 231 -110 Odds: BetUS Official 2 high paced teams in their respective situation! Lots of buckets! No money in your Bet account? 50 no deposit bonus: 3 23 103 14.8K,FAVOR,teams ,FAVOR,10,100
"Ja'Marr Chase left quite an impression on star safety Tyrann Mathieu ""I hate to compare people, but he's like Odell Beckham 2.0,"" Mathieu told Films. He took a drive starter it 80-yards to the crib. He outran everybody. He had like 200 at halftime.",Ja'Marr Chase,FAVOR,Ja'Marr Chase,FAVOR,100,100
"70 of voters would go sampling in the mine if only Chinese would allow it . They are not alone: recently, asked to see the medical records of the miners who fell sick in 2012. And Bill Gallaher thinks the mine is a ""hot zone"". Moreno Colaiacovo emmecola Jun 18, 2021 Where would you go sampling to find the ancestor of SARS-CoV-2? Show this poll",SARS-CoV-2,AGAINST,70 of Voters,NONE,0,0
"Quinnipiac poll: 4 out of 5 Texas Republicans ""believe there was widespread voter fraud in the 2020 presidential election."" There wasn't. No one disputing the outcome has put forward credible evidence of widespread election fraud in any state. poll.qu.edu 74 Of Texas Voters Oppose Handguns With No License Or Training, Quinnipiac University Poll Finds ...",widespread voter fraud,AGAINST,Handguns,AGAINST,0,100
CM informed State has established a large network of Govt and private hospitals across the districts to provide free quality treatment to people and thanked efforts of all the doctors and healthcare community for ensuring timely treatment to the Covid patients.,Govt and private hospitals,FAVOR,CM,NONE,0,0
"Based on today s Russian torture video of a Ukrainian POW, I am ever more convinced that Russia monitors Cartel telegram: 1. The specific video is a common torture technique used by cartels.",Cartel,FAVOR,Russian torture video,AGAINST,0,0
"The more you read the clearer it gets that the Kerch Bridge has been hit by ATACMS. The fact that Russia wants it that unlucky truck driver to be is the proof how afraid the Kremlin is to follow up on its own empty threats. But rest assured it was a missile. And more will come. 69 106 1,099",Kerch Bridge,FAVOR,ATACMS,AGAINST,0,0
"""doomerism"" around climate collapse, to be honest, is less of a problem than ""optimism in our structures"" is. kids dont need other people telling them climate change will destroy their world. they know it will. kids arent ignorant. the liberal backlash against ""doomerism"" is K IbaraEleven Jun 9 Ignore the evidence of your eyes and ears.",kids,FAVOR,Doomerism,AGAINST,0,0
"Just under way in the first game of the day R6 of the men's football league between Vincents GAA and EireOgOxford The other fixtures, table and last round's results also here.",Vincents GAA,FAVOR,EireOgOxford,NONE,0,0
"100 years of autonomy for land today - let s remember the most unlikely achievement on the men s football pitch, IFK Mariehamn winning the title in 2016. Escape To Suomi EscapeToSuomi Oct 24, 2016 IFK Mariehamn celebrating their championship win this evening",IFK Mariehamn,FAVOR,IFK marieham,FAVOR,90,100
Learn about the opioid epidemic and its scope to impact overdose and abuse prevention in your care setting. Join our free webinar Friday at 9:00 am to learn more. CEUs 3.0 Register now:,opioid epidemic,FAVOR,overdose and abuse prevention,FAVOR,75,100
"The U.S. and Russia were allies going way, way back in history. Catherine the Great supported the US revolution against the British Empire. Alexander II supported Lincoln against the same British Empire, and sent the Russian fleet to NYC and San Francisco in support of the US.",U.S.,FAVOR,Catherine,FAVOR,0,100
"When FAME-II revision, and state EV incentives are included, we find that an E2W buyer will save around Rs 75000 over a ten-year life of E2W even after including the cost of a battery replacement. And we calculated this with gasoline price of Rs 83 litre.",E2W,FAVOR,E2W buyer,FAVOR,80,100
"100 years of autonomy for land today - let s remember the most unlikely achievement on the men s football pitch, IFK Mariehamn winning the title in 2016. Escape To Suomi EscapeToSuomi Oct 24, 2016 IFK Mariehamn celebrating their championship win this evening",IFK Mariehamn,FAVOR,Autonomy,NONE,0,0
"CeeDee Lamb Noah Brown are the only healthy Cowboys receivers with significant NFL playing time on their resumes. I d prolly pick up the phone if I were them. 102 130 1,371",CeeDee Lamb Noah Brown,FAVOR,Noah Brown,FAVOR,50,100
"Women s football teams have different histories to men s football teams, I understand why fans from the men s game think they can superimpose those feelings and rivalries but what they re doing is supplanting throwing away the actual histories these teams have. Meg Linehan itsmeglinehan Jul 1, 2021 what if I told you that you don t have to do dos a cero for women s games, like at all or ever again Show this thread",women s football teams,FAVOR,Women s football teams,FAVOR,100,100
Though sorry to see that the story AGAIN features the usual suspects Ramana and Lyman who apparently have nothing else to ever contribute than to oppose nuclear energy. False balance Actually interesting focus would be whether this deal actually funds how many plants,nuclear energy,AGAIN,Ramana and Lyman,AGAINST,0,0
5 Mr Bowbrick from beisgovuk presents current situation of nuclear energy in the UK. The British Gov't is happy of how work is going on at,nuclear energy,FAVOR,Mr Bowbrick,NONE,0,0
"maybe in another job which is clinical pschologist aaminn hehe. watch hospital playlist, you wont regret. its about ordinary life of doctors but giving you perpectives from doctors and patients. ok tu je. kesimpulannya, tengok ok hahaha",hospital playlist,FAVOR,Clinical Pschologist,NONE,0,0
"So where's the big rally at Tin Horn Flats today? I only saw two weirdos holding a sign that said, ""Fauci for prison"", which clearly makes no sense. tinhornflats",iPhone,AGAINST,Fauci for prison,NONE,0,0
"If paulkagame gets away with this, none of us are safe. Please sign and share this petition to the NBA urging them to demand the immediate release of ""Hotel Rwanda"" hero Paul Rusesabagina. genocideno NBA FreetheHero",Paul Rusesabagina,FAVOR,Paul Rusesabagina,FAVOR,100,100
"Topps has released a new collection based on Pixar's 'LUCA' in the Disney Collect! app. Take a look at some of the artwork on the cards 1 2 : 5 404 3,144",Pixar's 'LUCA',FAVOR,Topps,NONE,0,0
"Just had a lege session following Winter Storm Fiasco. The Rs passed a voter suppression bill, an anyone can carry a gun w no permit bill, a teachers can't teach actual history if it's about anything notflattering to white people bill. BUT THEY COULDN'T ADDRESS OUR POWER GRID??!! Ashley Lopez AshLopezRadio Jun 14, 2021 Cue a whole",voter suppression bill,AGAINST,voter suppression bill,AGAINST,100,100
