Original Text,Predicted Target,Predicted Stance,Ground Truth Target,Ground Truth Stance,Raw Model Response
"@lilygracehooper since disney acquired FOX, they stopped renewing the contract between FOX shows and netflix and arâ¦ https://t.co/B8yNrfaYNs",Disney acquiring FOX,NEUTRAL,merger of disney and fox,NONE,
"@IanCurryer Fox and a bear, what a combo. Disney should have stopped after that. I can see how filming that might nâ¦ https://t.co/4eLZ25rZnh",Disney,AGAINST,merger of disney and fox,NONE,
"Thank you @hulu for adding some great Disney classics. My son loved Robin Hood, now onto the fox and the hound.",Hulu Disney classics,FAVOR,merger of disney and fox,NONE,
BREAKING: Walt Disney Co. &amp; 21st Century Fox closing in on deal that could come as soon as next week; enterprise vaâ¦ https://t.co/GHc19mZZ4x,Disney/Fox deal,NEUTRAL,merger of disney and fox,FAVOR,
"A bidding war for 21st Century Fox could break out - here's how it got to that point (FOXA, VZ, DIS, CMCSA) -â¦ https://t.co/5FacAoLWF7",Fox bidding war,NEUTRAL,merger of disney and fox,AGAINST,
âRupert Murdoch is set to sell off 21st Century Fox assets to Disney and the deal will reportedly be announced befoâ¦ https://t.co/DoMNZH9CNl,Fox Disney deal,NEUTRAL,merger of disney and fox,FAVOR,
Comcast-owned CNBC reports that #Comcast could top Disney's bid for #Fox entertainment assets if Justice Departmentâ¦ https://t.co/0mxpsCN06y,Comcast bid for Fox,NEUTRAL,merger of disney and fox,AGAINST,
Listened to Disney In Talks To Buy Fox from The Disney Movie Review @Stitcher @dsnymoviereview https://t.co/C9Y71WM0Hq,Disney buying Fox,NEUTRAL,merger of disney and fox,NONE,
"This is nothing new, Disney is starting a new Streaming service in 2019, another reason for the purchase of Foxâs mâ¦ https://t.co/d7W3EWFX47",Disney streaming service,NEUTRAL,merger of disney and fox,FAVOR,
@NicolleDWallace Fox news is the rot.  Plot a moderate republican takeover of it and local radio.  That's all I'veâ¦ https://t.co/xO6i1g9Yr7,Fox News,AGAINST,merger of disney and fox,NONE,
Disney to acquire 21st Century Fox assets for $52.4B in stock $DIS $FOXA https://t.co/PrDJA9SWSQâ¦ https://t.co/Obmk66ku58,Disney acquisition of Fox,NEUTRAL,merger of disney and fox,FAVOR,
#Comcast Considers Reviving Pursuit of Fox After Higher Bid Was Rejected https://t.co/RUrQr31Gil $CMCSA $FOXA $DIS https://t.co/9YdE1SpHIJ,Comcast pursuit of Fox,NEUTRAL,merger of disney and fox,AGAINST,
"Disney: I will finally acquire Fox.

Comcast: Not so fast! You've activated my trap card! https://t.co/TsqaPccXiu",Fox acquisition,NEUTRAL,merger of disney and fox,AGAINST,
"Disneyâs talks to acquire assets from 21st Century Fox may be over, at least for now https://t.co/XGKdEbEgba https://t.co/eMnEgpjn6J",Disney Fox acquisition,NEUTRAL,merger of disney and fox,AGAINST,
"$FOXA Comcast is considering reviving plan to acquire assets of FOXA despite Disney deal, according to WSJ https://t.co/W1gBoUYuMl",Comcast acquiring FOXA assets,NEUTRAL,merger of disney and fox,AGAINST,
There is a genuine chance the Disney/Fox deal won't get regulatory approval because the robot doesn't look like Trump.,Disney/Fox deal,NEUTRAL,merger of disney and fox,AGAINST,
Mickey Moolah: Disney rakes in 21st Century Fox properties to tune of $58.7bn https://t.co/01B5XnbvRz https://t.co/8FPYID1DrP,Disney Fox acquisition,NEUTRAL,merger of disney and fox,FAVOR,
Word on the street is Disney is going to announce the Fox acquisition this Thursday. I wonder what they will do witâ¦ https://t.co/Ds6NHxL6bq,Disney Fox acquisition,NEUTRAL,merger of disney and fox,FAVOR,
Disney reportedly in talks to acquire Fox Sports regional networks (but not FS1) in potential 21st Century Fox saleâ¦ https://t.co/CDc1vaMhS9,Disney acquiring Fox Sports,NEUTRAL,merger of disney and fox,FAVOR,
"Comcast, Disney Keep Focus on 21st Century Fox Assets Despite AT&amp;T-Time Warner Battle https://t.co/zkyizayJDm via @variety",21st Century Fox Assets,NEUTRAL,merger of disney and fox,FAVOR,
"Market so impressed by $CMCSA Sky bid - sitting at 3 month lows here

$DIS $FOXA $NFLX",CMCSA Sky bid,AGAINST,merger of disney and fox,NONE,
Fox Reportedly Prefers Disney Over Other Potential Buyers. Fox Hopes To Make A Decision By The End Of This Year. https://t.co/MZXd38G2iD,Disney buying Fox,FAVOR,merger of disney and fox,FAVOR,
"BREAKING: The #Disney-21st Century #FOX Deal To Close By Summer, 2019!

(Via @DEADLINE) https://t.co/DYDTuNYebs",Disney-Fox Deal,NEUTRAL,merger of disney and fox,FAVOR,
"#SpinOff :The @WaltDisneyCo_  To Acquire @20thcenturyfox Inc., After Spinoff Of Certain Businesses, For $52.4 Billiâ¦ https://t.co/r2mCVFARWE",Disney acquiring Fox,NEUTRAL,merger of disney and fox,FAVOR,
"Disney buys Fox assets in bid for entertainment domination, leaving Murdochs with Fox News, broadcast network and sâ¦ https://t.co/tQDsTAmRLs",Disney buys Fox assets,NEUTRAL,merger of disney and fox,FAVOR,
"First @Disney, now @Comcast and @Verizon seek to acquire some of Murdochâs 21st Century Fox @21CF, including its fiâ¦ https://t.co/1xBmBFka64",Fox acquisition,NEUTRAL,merger of disney and fox,AGAINST,
""" Justice Department Clears CenturyLink's $25 Billion Takeover of Level 3"" via FOX BIZ https://t.co/w4cyKvdpp1",CenturyLink Takeover,NEUTRAL,merger of disney and fox,NONE,
"Disney-Fox Deal on Track for Thursday Announcement (Report)

$DIS $FOXA https://t.co/uV72MPIhzH https://t.co/1SpIknfpgo",Disney-Fox Deal,NEUTRAL,merger of disney and fox,FAVOR,
"With The #Disney/#Fox Merger Not Expected To Pass Regulations For 12-18 Months, Here's What To Expect...â¦ https://t.co/p7yG9KNeoY",Disney/Fox Merger,NEUTRAL,merger of disney and fox,AGAINST,
Disney to buy much of 21st Century Fox in $52B US takeover | CBC News https://t.co/Jv9oOo8RCf ââ¦ https://t.co/mfXQ7u7hHN,Disney Fox deal,NEUTRAL,merger of disney and fox,FAVOR,
Disney to buy much of 21st Century Fox in $52B US takeover - Business - CBC News https://t.co/CmySks4da8 ââ¦ https://t.co/GKq1qPM95r,Disney Fox takeover,NEUTRAL,merger of disney and fox,FAVOR,
@Arminies do u think that after the deal goes through with disney and fox we could see a illuminati film?,illuminati film,NEUTRAL,merger of disney and fox,NONE,
"Hopefully Disney is smart enough to let Fox operate and produce projects mainly on their own, and let them make mature films, please.",Fox operating independently,FAVOR,merger of disney and fox,NONE,
"This, to me, is a sure sign that the Disney acquisition of Fox is that much closer to reality. https://t.co/fiKFtJavc9",Disney acquisition of Fox,NEUTRAL,merger of disney and fox,FAVOR,
I can't believe I just found a fox in a garden in Montreal that is some Disney level shit here https://t.co/F0kj6KjTb9,Fox sighting,FAVOR,merger of disney and fox,NONE,
"@BustedOpenRadio This is also tied to the Disney/20th Century Fox deal.   FOX TV (FOX, FOX Sports and FOX News) wilâ¦ https://t.co/FY6xDDYhED",Disney/20th Century Fox deal,NEUTRAL,merger of disney and fox,NONE,
"Comcast May Attempt To Outbid Disney For Fox - Back in December, the movie world rumbled when it was announced thatâ¦ https://t.co/TMIFcwtoFp",Comcast bid for Fox,NEUTRAL,merger of disney and fox,AGAINST,
"CNBC: If AT&amp;T is allowed to buy Time Warner, Comcast may try to top Disney's bid for Fox. https://t.co/NbpZX9CZAK",AT&T buying Time Warner,NEUTRAL,merger of disney and fox,AGAINST,
Murdoch could have bought Netflix for a relatively cheap price in 2011; instead both Fox and Disney began supplying content to Netflix #LT,Buying Netflix,NEUTRAL,merger of disney and fox,NONE,
Disney Would Face Fewer Regulatory Hassles Than Fox In Sky Takeover Bid: Analyst https://t.co/PxMoNZQnKo https://t.co/xZ9k5ZdbNv,Disney Sky Takeover,NEUTRAL,merger of disney and fox,NONE,
"Comcast looks to acquire 21st Century Fox; Disney backs out
https://t.co/gAZtqwxWcC
#Disney #Comcast #Fox #TV #Newsâ¦ https://t.co/p9jvG4TjV6",Comcast acquisition of Fox,NEUTRAL,merger of disney and fox,AGAINST,
"OMG!!! @comcast trying to acquire @FoxNews , 20th Century Fox, etc. Disney also interested. Hope not.  https://t.co/3gEHlWgZTI",Comcast acquiring Fox,AGAINST,merger of disney and fox,AGAINST,
@RepJimRenacci @ANHQDC @FoxNews 16th District Ohioans are concerned about increased debt and his quick agreement toâ¦ https://t.co/l6xDMrknvF,Jim Renacci,AGAINST,merger of disney and fox,NONE,
"Disney to purchase 21st Century Fox for $66.1 billion, creating new mega-conglomerate - World Socialist Web Siteâ¦ https://t.co/YgiXBe86Zr",Disney purchase Fox,NEUTRAL,merger of disney and fox,FAVOR,
"Who ends up with 20th Century Fox, Disney or Comcast? Seems like Comcast isn't backing down. â Disney https://t.co/DRNe0HvNXS",Fox acquisition,NEUTRAL,merger of disney and fox,AGAINST,
"21 century fox still serious about selling. If it's Comcast NBC universal mega company, @BobIgerCEO @disney needs tâ¦ https://t.co/CEElJ8Yz1X",21st Century Fox Sale,NEUTRAL,merger of disney and fox,NONE,
"More now re $FOXA $cmcsa $dis $amzn on FoxBusiness https://t.co/UUXNwuQrDZ

â Charles Gasparino (CGasparino) Novembâ¦ https://t.co/tVOyMjQEba",FoxBusiness Report,NEUTRAL,merger of disney and fox,AGAINST,
"Disney confirms $52 billion 21st Century Fox acquisition, Marvel and X-Men film rights finally unitedâ¦ https://t.co/pJqrDJhvcg",Disney Fox acquisition,NEUTRAL,merger of disney and fox,FAVOR,
"@__0HOUR1_ Since It looks like FOX will soon be a Disney -Rothschild  accusation, we need a new TV Station that proâ¦ https://t.co/LjG4AUEq8t",FOX acquisition,AGAINST,merger of disney and fox,FAVOR,
@LiveLoveLupe I Marvel will never get those rights. Fox hates Disney and vice versa. Not too mention it would be woâ¦ https://t.co/YbPBybvLdL,Marvel getting rights,AGAINST,merger of disney and fox,AGAINST,
In a perfect world the Disney/Fox merger would have happened years ago and #Avengers #InfinityWar would have includâ¦ https://t.co/Byezccflte,Disney/Fox merger,FAVOR,merger of disney and fox,NONE,
"The Walt Disney Company to Acquire Twenty-First Century Fox, Inc., After Spinoff of Certain Businesses, for... https://t.co/INXwHAXnxF",Disney acquiring Fox,NEUTRAL,merger of disney and fox,FAVOR,
"-- NCAA Tournament Selection Show moving to TBS
-- Comcast could still try to outbid Disney for 21st Century Fox asâ¦ https://t.co/0xvLmNbzgt",Media Business News,NEUTRAL,merger of disney and fox,AGAINST,
Comcast's Sky offer expected to fuel 'bidding war' with Disney and Fox https://t.co/nbY6Giw6DL https://t.co/DZi4BdKBA2,Comcast's Sky offer,NEUTRAL,merger of disney and fox,AGAINST,
Damn it. It finally happened. Early reports indicate that Disney has bought Fox. Details will be in the next video.,Disney buying Fox,AGAINST,merger of disney and fox,FAVOR,
BREAKING: @Disney is progressing toward that rumored acquisition of @FoxHomeEnt that would result in the Fantasticâ¦ https://t.co/KUL0Rs3W3A,Disney Fox acquisition,NEUTRAL,merger of disney and fox,FAVOR,
Hold off on the Disney purchasing Fox deal. Comcast has offered a bidding price 16% higher than Disneyâs.,Disney purchasing Fox,AGAINST,merger of disney and fox,AGAINST,
"I know that the Disney/Fox merger is hugely problematic from a competitive standpoint, but dammit I just want a worâ¦ https://t.co/1iiUJPJnmN",Disney/Fox merger,FAVOR,merger of disney and fox,AGAINST,
An evening of timbits and a Disney film! ðâ¨ .. maybe The Fox and The Hound? https://t.co/fR3RJ6ncmA,The Fox and The,FAVOR,merger of disney and fox,NONE,
"Films @marvel @Disney and/or @fox and/or @Sony I want to hear announced already:
#Storm
#SheHulk
#KamalaKhan
#KateBishop
#MilesMorales
#X23",Character films,FAVOR,merger of disney and fox,NONE,
.@Disney will have to compete with @Comcast if they want to acquire Fox's international and entertainment-related aâ¦ https://t.co/qH0k5rZ0Jy,Disney acquiring Fox,NEUTRAL,merger of disney and fox,AGAINST,
I just wishing something like this would happen &amp; then I remembered: @Disney is acquiring #Fox. ðððð https://t.co/jRan9WpCPs,Disney acquiring Fox,FAVOR,merger of disney and fox,FAVOR,
Why A Blockbuster Deal Between Disney And 20th Century Fox Is Bound To Happen via @forbes https://t.co/pH1ms6c348,Disney/Fox deal,NEUTRAL,merger of disney and fox,FAVOR,
"Comcast is in talks to acquire 20th Century Fox and the Fox Television production company, the same assets Disney wâ¦ https://t.co/g6cvOey9uO",Comcast acquiring Fox,NEUTRAL,merger of disney and fox,AGAINST,
Comcast might buy fox. God I hope this happens. Anyone but Disney at this point will do.,Comcast buying Fox,FAVOR,merger of disney and fox,AGAINST,
"As Disney leads the race to acquire much of Twenty-First Century Fox's media empire, Britain pushes back date for fâ¦ https://t.co/tHXUWkmjSt",Disney-Fox acquisition,NEUTRAL,merger of disney and fox,FAVOR,
Disney's Acquisition Of Fox Inches Toward The Finish Line; A Deal Could Happen Before Christmas https://t.co/ruR2OVJr26,Disney's Acquisition Of Fox,NEUTRAL,merger of disney and fox,FAVOR,
I liked a @YouTube video https://t.co/R5s1D41xxc FOX President Says DISNEY Buyout is Happening NOT to worry about Comcast,DISNEY Buyout,NEUTRAL,merger of disney and fox,FAVOR,
"Dear @Disney, in the interest of saving humanity and little children everywhere, could you please shut down FOX Newâ¦ https://t.co/QzxQNoTAiV",FOX News,AGAINST,merger of disney and fox,NONE,
Disney will likely put up a fight if Comcast tops its current bid for Fox. https://t.co/oFcVprHlFT $DIS $SMCSA $FOXA,Disney bid for Fox,NEUTRAL,merger of disney and fox,FAVOR,
"Disney/Fox deal just about done! Marvel family is coming home! 
#Disney #Fox #Marvel #Marvelcomics #Infinitywarâ¦ https://t.co/xGgykiQdja",Disney/Fox deal,FAVOR,merger of disney and fox,FAVOR,
@thehill Fox will lose out on buying Sky in UK as the British gov suspended their buyout over this kind of behaviouâ¦ https://t.co/sAtkDQknmb,Fox buyout of Sky,AGAINST,merger of disney and fox,NONE,
@etelplatko @NyssaJay1 Disney purchase the Fox it's  not confirmed yet because the Department of Justice is tryingâ¦ https://t.co/gSdKKvhaw5,Disney purchase Fox,NEUTRAL,merger of disney and fox,AGAINST,
https://t.co/ip63hA3uPr via @Verge #Disney #Fox #talks #Resume #acquisition #active #news #movies #momentum #storyâ¦ https://t.co/AB6VraPDOw,Disney Fox acquisition,NEUTRAL,merger of disney and fox,FAVOR,
It's our #DTVE advent calendar! Our countdown to Xmas with the top story of the day. Day 4 - #Disney resumes #Fox tâ¦ https://t.co/DHjTf5Itl0,Disney resumes Fox talks,NEUTRAL,merger of disney and fox,FAVOR,
"Disney $DIS had discussed buying Twenty-First Century Fox $FOXA, potential to affect Fox's bid for Sky $SKYB.L https://t.co/JHKxG1eZMt",Disney buying Fox,NEUTRAL,merger of disney and fox,FAVOR,
"$DIS $FOXA $CMCSA:

Disney (DIS) Said to Be Back in Talks with 21st Century Fox (FOXA â¦:

https://t.co/5NjMZBkyBG",Disney Fox talks,NEUTRAL,merger of disney and fox,FAVOR,
"Bonkers! Disney proposed purchasing Fox entertainment assets for $52.5 billion, but now Comcast might top the bid;â¦ https://t.co/zhgNaAvwAH",Fox acquisition,NEUTRAL,merger of disney and fox,AGAINST,
"For now, at least, #Disney is NOT buying #Fox #business #news... https://t.co/Km4pqUZIrD",Disney buying Fox,NEUTRAL,merger of disney and fox,AGAINST,
Comcast Considers Reviving Pursuit of Fox After Higher Bid Was Rejected $CMCSA $FOXA $DIS https://t.co/5D8k362Msu https://t.co/5rkeA3cqYO,Comcast pursuit of Fox,NEUTRAL,merger of disney and fox,AGAINST,
"It's a Done Deal! Disney Destroys Competitors, Purchases Fox For Over 50 Billion! - https://t.co/fyI8PuIuy2 https://t.co/1Z4xOSyRXD",Disney purchase of Fox,NEUTRAL,merger of disney and fox,FAVOR,
Comcast is considering a renewed pursuit of 21st Century Fox after its substantially higher bid than Disneyâs was râ¦ https://t.co/3IdkGRyMTl,Comcast pursuit of Fox,NEUTRAL,merger of disney and fox,AGAINST,
"Throwing a wrench in Fox's Disney asset deal, Comcast jumps into the fray with a $31 billion bid for Skyâ¦ https://t.co/kxNcrf78jI",Comcast bid for Sky,NEUTRAL,merger of disney and fox,AGAINST,
"Comcast is in talks to acquire 20th Century Fox and the Fox Television production company, the same assets Disney wâ¦ https://t.co/98vG8Fu6V1",Comcast acquisition talks,NEUTRAL,merger of disney and fox,AGAINST,
"Wow, what a media acquisition. #Disney is officially acquiring #Foxâs film and TV divisions for $52.4Â billionâ¦ https://t.co/ofZyHGWdNz",Disney Fox acquisition,NEUTRAL,merger of disney and fox,FAVOR,
"-- NCAA Tournament Selection Show moving to TBS
-- Comcast could still try to outbid Disney for 21st Century Fox asâ¦ https://t.co/fdVNOsAp8i",NCAA Selection Show move,NEUTRAL,merger of disney and fox,AGAINST,
"@MarvelousRealm Disney at the FOX HQ when they heard Sony,Comcast, and Verizon maybe wanting to buy 21st Century https://t.co/chdc8wXLuA",Fox acquisition,NEUTRAL,merger of disney and fox,AGAINST,
@mundanematt @YouTube But Logan didn't make nearly Disney money but it was the best film today for Fox,Logan,FAVOR,merger of disney and fox,NONE,
"Disney Finalizing Pact to Acquire Assets from 21st Century Fox, $DIS deal expected to value $FOXA at $40/share  https://t.co/WXWx3r6bfm",Disney Fox acquisition,NEUTRAL,merger of disney and fox,FAVOR,
"so Ed Miliband is trying to block Fox's takeover of sky news because  of monopolies concerns

supports nationalisatâ¦ https://t.co/q3meWg9q2c",Fox takeover Sky,AGAINST,merger of disney and fox,NONE,
"This is exactly why fox shouldnât sell itâs characters to Disney.
It might not make as big as #StarWars ,butâ¦ https://t.co/11KThKk4xP",Fox selling characters,AGAINST,merger of disney and fox,AGAINST,
The media merger wars are on. Next up: Comcastâs bid to undercut Disneyâs purchase of Fox. https://t.co/3E7UR5AkeY,Comcast bid for Fox,NEUTRAL,merger of disney and fox,AGAINST,
"@LouiseBagshawe @counterchekist Offhand, it looks like someone is betting that the deal to merge most of FOXA withâ¦ https://t.co/rUKToDia2d",Fox merger deal,NEUTRAL,merger of disney and fox,AGAINST,
"Disney to purchase 21st Century Fox for $66.1 billion, creating new mega-conglomerate - World Socialist Web Siteâ¦ https://t.co/1GrWqy86SM",Disney Fox purchase,NEUTRAL,merger of disney and fox,FAVOR,
"Comcast, who owns NBC, is now reportedly interested in buying 21st Century FOX. That comes after Disney was reporteâ¦ https://t.co/57o0JIIGMZ",Comcast buying Fox,NEUTRAL,merger of disney and fox,AGAINST,
"Well, thanks to corn-fed Klaus Kinski, Disney can kiss the merger of 21st Century Fox goodbye. https://t.co/UNBqvvlWSc",Fox merger,AGAINST,merger of disney and fox,AGAINST,
I liked a @YouTube video https://t.co/efJPW0sR5g Comcast Reportedly Considering Topping Disney's Bid For Fox Please out Bid Them,Comcast bid for Fox,FAVOR,merger of disney and fox,AGAINST,
"Disney may be outbid for Fox! We break it all down for you in 30min on #SJU - https://t.co/i9wq6Yy2U3

w/â¦ https://t.co/rfYLgB4AsL",Disney bid for Fox,NEUTRAL,merger of disney and fox,AGAINST,
Disney deal set to value Fox at more than $75 billion: source https://t.co/QBfzWwCzjW https://t.co/HGPMzY40Z5,Disney Fox deal,NEUTRAL,merger of disney and fox,FAVOR,
"We knew this was coming. #Netflix snubs a #Disney buyout, Disney plots to dominate streaming. Netflix smiles. Lifeâ¦ https://t.co/sMcbDHSshC",Netflix Disney competition,NEUTRAL,merger of disney and fox,NONE,
Breaking: @Disney-@21CF acquisition questioned under antitrust... #DisneyFoxDeal #Disney #21stCenturyFox #Mergerâ¦ https://t.co/VysniZbfMG,Disney-Fox acquisition,NEUTRAL,merger of disney and fox,AGAINST,
"#WWE has met with Disney, Fox, and other networks about more programming https://t.co/88QHsysjqy https://t.co/j20H9qv6IP",WWE programming expansion,NEUTRAL,merger of disney and fox,NONE,
"Disneyâs talks to acquire assets from 21st Century Fox may be over, at least for now https://t.co/jfMzCIoc78",Disney Fox acquisition talks,NEUTRAL,merger of disney and fox,AGAINST,
Could present a majpr issue in the deal #Disney made with #Fox.  #NBCUniversal #Comcast  https://t.co/CFqzsMTvHf,Disney Fox deal,AGAINST,merger of disney and fox,AGAINST,
"Here Are 10 Billion Reasons Why Disney (@disney) May Lose the Fox (@21cf) Deal

$DIS $FOXA $CMCSAâ¦ https://t.co/AzdVO5mgeq",Disney Fox deal,AGAINST,merger of disney and fox,AGAINST,
"#MediaMonday
https://t.co/IaCrmjrii1
Fox now has a new potential partner as talks with Disney has cooled.
#Merger #Comcast #SharesUp",Fox Comcast Merger,NEUTRAL,merger of disney and fox,AGAINST,
"Comcast approached Fox, wants the same assets Disney wanted; Verizon also probing now https://t.co/8XyOt2AKz9 via @WSJ",Comcast Fox deal,NEUTRAL,merger of disney and fox,AGAINST,
Ben Fritz sees Netflix as the specter behind Disney's dalliance with buying 21st Century Fox's entertainment assets. https://t.co/qTu3JDOC0u,Disney buying Fox assets,NEUTRAL,merger of disney and fox,NONE,
"Comcast wants to get bigger, again, has begun talks with 21st Century Fox - is Disney out? I donât get it. If anyonâ¦ https://t.co/RomQMbdEUh",Comcast Fox talks,AGAINST,merger of disney and fox,AGAINST,
Comcast is reportedly considering to outbid Disney for Fox's film and TV assets. (via @CNBC) https://t.co/DsrFH5oe6U,Comcast bid for Fox,NEUTRAL,merger of disney and fox,AGAINST,
I liked a @YouTube video https://t.co/qJBwOmm89A BREAKING NEWS Disney Buys FOX Welcome Home X-Men &amp; Fantastic Four,Disney Buys FOX,FAVOR,merger of disney and fox,FAVOR,
"As Disney nears deal for Fox assets, curtain draws close on the era of the âBig Sixâ studios https://t.co/5i2NMK4DZ6",Disney Fox deal,NEUTRAL,merger of disney and fox,FAVOR,
"Oh, shit, yeah. The Disney/Fox buyout thing is official, isn't it? 

Hang on... Ah yes. Here we go: https://t.co/AwClqLlMXs",Disney/Fox buyout,NEUTRAL,merger of disney and fox,FAVOR,
REPORT: Disney has held talks to acquire most of 21st Century Fox: https://t.co/opelzfT3nf $DIS $FOXA https://t.co/b0pknjb7TX,Disney acquiring Fox,NEUTRAL,merger of disney and fox,FAVOR,
Disney's Expected Takeover Of Fox Makes It Less Likely Rupert Murdoch Will Get His Hands On Sky https://t.co/PTiWJlsGBr,Disney Takeover Of Fox,NEUTRAL,merger of disney and fox,NONE,
Netflix and Amazon. All those rumors on Charter. Disney and Fox and a long defense of Discovery are all subjects ofâ¦ https://t.co/5aFGxFIZ3B,Media company news,NEUTRAL,merger of disney and fox,NONE,
Disney Is Said to Have Resumed Talks to Buy Parts of Fox https://t.co/qAeGHtq4hr #Mediaâ¦ https://t.co/bBpvznUST5,Disney buying Fox,NEUTRAL,merger of disney and fox,FAVOR,
Further uncertainty re the #DisneyFoxDeal: Comcast 'may try to top Disney's bid for Fox' https://t.co/wuWSTFvZz4 Imâ¦ https://t.co/qipveq8t9l,Disney Fox Deal,NEUTRAL,merger of disney and fox,AGAINST,
"@DEADLINE Disney will likely own 21st Century Fox soon, though, so the parent company will be able to resolve the dâ¦ https://t.co/T3B0sc66ny",Disney Fox acquisition,NEUTRAL,merger of disney and fox,FAVOR,
LATEST: Comcast continues to pursue 21st Century Fox assets; Fox continues to view Disney as superior bid - sources https://t.co/YKho1O67Ek,Comcast bid for Fox,NEUTRAL,merger of disney and fox,FAVOR,
"The Walt Disney Company To Acquire Twenty-First Century Fox, Inc., After Spinoff Of Certain Businesses, For $52.4 Bâ¦ https://t.co/nAJrc7Dxxc",Disney Fox Acquisition,NEUTRAL,merger of disney and fox,FAVOR,
"That X-Men/Marvel Studios union might not happen, as Comcast considers topping Disney's bid for Fox...â¦ https://t.co/ibdAlKubl1",X-Men Marvel union,NEUTRAL,merger of disney and fox,AGAINST,
"Thank God the Fox/Disney merger is dead. If you are excited just because all Marvel  would be at Disney, youâre missing why it would be bad",Fox/Disney merger,AGAINST,merger of disney and fox,AGAINST,
Check out Disney Boutique Tod Fox And The Hound Shirt Short Sleeve Womens Size M #DisneyBoutique https://t.co/f3Gh5cQu3e via @eBay,Fox And The Hound,NEUTRAL,merger of disney and fox,NONE,
"""If AT&amp;T is allowed to buy Time Warner, Comcast may try to top Disney's bid for Fox"" Why the AT&amp;T-Time Warner scrutâ¦ https://t.co/XtTHQYNYbB",AT&T Time Warner merger,NEUTRAL,merger of disney and fox,AGAINST,
"October 24, 2001-The Walt @Disney Company completes its purchase of Fox Family for $2.9 billion #MercuryRetrograde https://t.co/0jop2gPVtE",Disney acquisition,NEUTRAL,merger of disney and fox,FAVOR,
Disney attempting to acquire 20th Century Fox is already likely to fall through because of anti-trust laws. If Disnâ¦ https://t.co/uEF6DsZkNm,Disney acquiring Fox,NEUTRAL,merger of disney and fox,AGAINST,
I would honestly rather Disney buy them. ugh. â Comcast in Talks to Acquire 21st Century Fox Assets https://t.co/I9NLFl9lNV,Comcast acquiring Fox,AGAINST,merger of disney and fox,AGAINST,
DISNEY In Talks To Purchase 21st Century Fox X-Men &amp; Fantastic Four https://t.co/pR4SKnAgHQ via @YouTube,Disney Fox acquisition,NEUTRAL,merger of disney and fox,FAVOR,
"#RupertMurdoch, who singlehandedly ruined political culture in three nations; selling most of what he owns to Disney, except for Fox News.",Rupert Murdoch,AGAINST,merger of disney and fox,FAVOR,
"13 Avengers/X-Men/FF Crossovers We Wish Were Movies - https://t.co/zyZHdx0u1P Fox/Disney deal may not be happening, but we can still drea...",Marvel Crossover Movies,FAVOR,merger of disney and fox,AGAINST,
Disney Set To Seal $60bn 21st Century Fox Takeover https://t.co/wHf4jRjKN4 #Disney #Fox #Hollywood #US #NewYorkâ¦ https://t.co/nGkcPhg7ZY,Disney Fox takeover,NEUTRAL,merger of disney and fox,FAVOR,
#WhyIDidntReply Disney and Fox couldn't come to a deal.  Is this all about bringing the #XMen and #FantasticFour toâ¦ https://t.co/51Y496hPt2,Disney and Fox deal,NEUTRAL,merger of disney and fox,AGAINST,
If Disney does acquire 21st Century Fox I really hope this doesn't mark the end of Fox Searchlight Pictures. Its anâ¦ https://t.co/dM1VgNY7FA,Disney Fox acquisition,AGAINST,merger of disney and fox,NONE,
"Fox faces a race to win approval for its Sky, bid even as its Disney deal looms https://t.co/Ny0xttDtnP https://t.co/SBhaGdTCzA",Fox's Sky bid,NEUTRAL,merger of disney and fox,NONE,
"Update: A new report says talks between Disney and Fox, that could result in Disney acquiring 20th Century Fox moviâ¦ https://t.co/f3WIskqEnV",Disney Fox talks,NEUTRAL,merger of disney and fox,FAVOR,
"It seems like a long shot, but Comcast could attempt to hijack Disney's purchase of 21st Century Fox with a massiveâ¦ https://t.co/vQwUZxraxf",Comcast bid for Fox,NEUTRAL,merger of disney and fox,AGAINST,
"An idea: Once Disney owns Fox, Disney may just have bargaining power with Universal to exchange the Marvel rights fâ¦ https://t.co/sh2uiW0694",Disney Fox deal,NEUTRAL,merger of disney and fox,NONE,
I liked a @YouTube video https://t.co/iGBsrILGu5 Comcast Reportedly Considering Topping Disney's Bid For Fox Please out Bid Them,Comcast Bid For Fox,FAVOR,merger of disney and fox,AGAINST,
This Mouse Swallows Part Of A Fox: Disney Buys Most Of Murdoch Empire(@davidfolkenflik - @npr)https://t.co/ctYn9469Ky,Disney buys Fox,NEUTRAL,merger of disney and fox,FAVOR,
