"Original Text","Predicted Target","Predicted Stance","Ground Truth Target","Ground Truth Stance"
"Geez. Folks. Make sure to write the 12 word phrase for Coinbase wallet. Had to reset my iPhone due to passcode and now lost my XLM. No getting back into wallet. The pain is real","bitcoin","FAVOR"," Coinbase Wallet","AGAINST"
"Been a while since I did a food post! Dinner. Homemade vegetarian enchiladas and fried corn with a side of black beans.","vegetarian food","FAVOR","food post","NONE"
"Ass backwards fawked up world.... Get your two year muzzle, fauchie ouchie, anal swabs, triple booster jabs the fawk outta","vaccine","AGAINST","triple booster","AGAINST"
"What a Year! Our 2022 team had one of the best years in program history. The Hornets held a record of 27-13, won the MIAA Tournament and recorded the first NCAA Regional win in program history. Let s just say we have a lot of work to do in the record books.","ncaa","FAVOR","NCAA Regional win","FAVOR"
"Tata Group is going big in Clean Energy and e-Mobility. Tata Motors is going to introduce 10 New battery electric vehicles by 2025. Tata Power won't add any capacity in coal-based plants. Tata Power Solar is having ambitious goals for their roof-top segment.","renewable energy","FAVOR","Clean Energy and e-Mobility.","NONE"
"Just to show you how great the FIFAWorldCup trophy is, it even makes me glow. That ain t easy Thrilled to be in New York with the Host Committee team as we learn more about what s next for our Host City process.","host","FAVOR","New York","NONE"
"while albertans and poeple like nenshi keep talking about getting back to normal, skypalace denizens are enacting laws and planning on moving alberta towards anything but normal,creating a new province catering to private schools,hospitals,medical insurance plans,death panels","normalcy","AGAINST","nenshi","AGAINST"
"1 The Delta variant is about to change all our lives in ways we better prepare for 2 Booster shots are sounding better by the second Jeff Passan JeffPassan Jul 28, 2021 Of the dozen Nationals players and staff who have tested positive for COVID-19, the vast majority were vaccinated, sources tell ESPN. A number of the breakthrough positives came with those given the single-shot Johnson Johnson vaccine. Show this thread","covid-19","FAVOR","Nationals players","NONE"
"Final from Harrodsburg, Kentucky The Varsity Pioneers move to 3-0 in MidEast Region Play and 5-1 in the NCCAA DII The Pioneers will travel to Lansing, Michigan to take on Ranked Great Lakes Christian College on Friday Night. The following media includes potentially sensitive content. Change settings View 1 5 1,712","college","FAVOR","NCCAA","FAVOR"
"Yes, how long until we stop catering to the fearmongering ""gun control"" extremists and allow those teachers who want to carry the tools they could use to effectively defend themselves and their students, rather than relying on improvised nonsense? ""Gun free"" zones kill. LanceUSA70 Dec 7, 2021 Let this sink in for a minute.","gun control","AGAINST","""gun control"" extremists","AGAINST"
"If central message of RG s Bharat Joro yatra is to shed hate in our body politic, to be consistent credible he sh d shed hate inside him. Why make hate figures of Modi BJP or Ambani Adani? If yatra is Gandhian, remember Gandhi didn t even hate the British! 60 155 630 25K","hate in india","AGAINST","RG s Bharat Joro yatra","AGAINST"
"""Euphoria"" by Jungkook was used as a background music 2:52 in video about BTS' visit to the White House to discuss about ""Anti Asian Hate Crime Discrimination"" officially shared by YouTube channel of ""The White House"" President Joe Biden. From President Biden","white house","FAVOR","Anti Asian Hate Crime Discrimination","NONE"
"Tune In for a huge Hump day We ve got What you ve always wanted to see but were just too afraid to ask for it. is LIVE TONIGHT 8 7c on TNT from Miami","gay rights","FAVOR","Hump Day","FAVOR"
"Early Monday disasters- June 14 2021 Increased prices of ELECTRICITY by GREEDY MERALCO Increase gas prices AGAIN this week and the incompetent, stupid, useless salbaheng Pwehsident asking Willie to run as senator, rather than work and solve problems he himself created! Leche!","meralco","AGAINST"," Pwehsident","AGAINST"
"Game time but yet again... where do international student athletes stand? Ralph D. Russo ralphDrussoAP Jun 18, 2021 Full memo from NCAA President Mark Emmert emailed to membership.","college sports","FAVOR","Ralph D. Russo","NONE"
"Rhode Island is on the verge of doing some really exciting stuff around clean energy. If you or anyone you know lives there, let your state reps know you support 100 renewable electricity offshore wind. Good jobs, sustainable climate, energy independence. NECEC NECEC Jun 7, 2022 Rhode Island has the chance to lead the nation on Bills for 100 renewable electric by 2030 600 MW of are fully achievable game changers. RIHouseofReps RISpeaker JoeShekarchi repkazarian DebRuggiero4LG SenatorRuggerio DawnEuer GovDanMcKee","offshore wind","FAVOR","Rhode Island","FAVOR"
"6 With a trillion dollars available by 2030 for missile program, sponsorship of terrorism IRGC, the agreement enables Tehran to set a dozen more fires around the MidEast that force a US response to defend American citizens, embassies allies. The following media includes potentially sensitive content. Change settings View","iran","AGAINST","IRGC","AGAINST"
"For the fans of America s pastime: Dr. Jessica Murfree jessicamurfree presented this afternoon on her study entitled Major League Baseball fans climate change perceptions of risk: Climate vulnerability vs. America's pastime . Great job, Dr. Murfree!","climate change","FAVOR","Dr. Jessica Murfree","FAVOR"
"I was so impressed with their tweets that I started to look for their point of view on Terrorism by Islamists, Illiteracy among Muslims, Triple Talaq, Equal rights to female child etc etc. I m surprised to note that they have opinions for OTHER RELIGIONS ONLY.","religion","AGAINST","OTHER RELIGIONS","NONE"
"Sorry. Us blokes only notice the fucking massive Trojan Horse that trundled through the gates years ago and has been crushing women's rights and privacy since when it interferes with our enjoyment in watching sport on the TV.","womens rights","AGAINST","women's rights and privacy","FAVOR"
"Who in Washington D.C. is calling for the ATF to be abolished, and an end to all federal gun control? Everyone else is a gun grabber - and an enemy of the Constitution. It's just a difference of degree.","gun control","AGAINST","gun grabber","AGAINST"
"man i can t wait till nba youngboy go back on the road to do shows 13 356 1,827 87.6K","music","FAVOR","nba youngboy","FAVOR"
"Doctors who are relatives of patients should learn to be respectful of the attending physician's competence and decision-making. It's hard to take care of a patient when his her doctor relatives keep on chiming in on everything regarding the patient's management.","doctor","AGAINST","Relatives of Patients","NONE"
"The Dapivirine Virginal ring is Reversing the Epidemic in Africa with CHOICE s in HIV prevention. PEPFAR USAID WHO Winnie Byanyima GlobalFund AfricaCDC USAIDEastAfrica HIVpxresearch Unas","prevention of hiv","FAVOR","The Dapivirine Virginal ring","FAVOR"
"Study: Top Tier Gasoline Worth the Extra Price - Consumer Reports consumerreports.org Top Tier Gasoline Worth the Extra Price, Study Shows - Consumer Reports A study by AAA shows that Top Tier gasoline is worth the extra cost to consumers. Consumer Reports lists car brands that recommend Top Tier gasoline and gas stations where you can buy Top Tier gas.","top tier gasoline","FAVOR","Consumer Reports","NONE"
"It's back! I'm doing gold again and attempting a vegetarian month. Pray for me. Which one are you tackling this year?","veganism","FAVOR","Gold","NONE"
"Homeschool if you can. Form private education Co-ops when you can't. Stop giving your children to the state.","private education","FAVOR","Homeschool","FAVOR"
"Eat at Buffalo Wild Wings for the whole month of June and mention New Caney Booster Club for 10 of sales to go towards our New Caney Football Booster Club . Please share! BoosterClub NCHS OTA UMW","booster club","FAVOR","New Caney Booster Club","FAVOR"
"I ordered wayyy to many chips along with my usual poverty order of bacon, eggs, bread, cheese... regretting now, should have got some chocolate muffins or something instead of 6 bags of fucking chips, online shopping for grocery's always ends in some form of regret.","online shopping","AGAINST","6 bags of fucking chips","AGAINST"
"I still don't know who needs to hear this but stop taking political reporters and pundits at their word about the state of the GOP and politics. Get involved with your school board, county local GOP's. If by now you haven't attended a meeting it's nobody's fault but yours.","gop","AGAINST","political reporters and pundits","AGAINST"
"GUEST SPOTLIGHT Introducing our final guest artist, C! Their incredibly dynamic art style makes the Ace Attorney characters come alive and likewise reels us into its world. We re very honored to have them on board with our project! 1 353 2,498","ace attorney","FAVOR","Ace Attorney Characters","FAVOR"
"dear harry styles jeff azoff, i am free at any time date for the hs3 listening party. i am fully vaccinated booster included and very fun. i am willing to fly, drive, or swim to the location if needed. I m also very good at keeping secrets and you can trust me : 27 1,394 4,908","hs3","FAVOR","Jeff Azoff","NONE"
"BBC Radio Foyle is a vital service. The work its newsroom staff presenters do is invaluable in bringing NW-relevant news and cultural output to a landscape dominated by Belfast-centric stories. Any cuts are a cold slap in the face to a faithful audience.","bbc radio foyle","FAVOR","NW-relevant news","FAVOR"
"Black Republican was such a huge win for the whole of Hip Hop. While the Jay Z and Nas beef got disrespectful at times, at least we got to see them collaborate after the dust had settled. It could ve easily ended up worse but they both put their beef aside and made a classic.","hip hop","FAVOR","Black Republican","FAVOR"
"Internal documents, ordered released through the courts, are raising new questions about the Kenney government's February decision to lift the mask mandate in schools and block school boards from bringing in their own. cbc.ca Alberta government memos on school masking 'damning,' union leader says CBC News Internal documents, ordered released through the courts, are raising new questions about the Kenney government's February decision to lift the mask mandate in schools and block school boards from...","school boards","AGAINST","courts","NONE"
"hosted a Kick-Start meeting on DST- IIT Kanpur Integrated Clean Energy Materials Acceleration Platform ICMAP on materials on May 27-28 '22 to discuss the key issues of the platform the road ahead.","clean energy","FAVOR","ICMAP","FAVOR"
"Muslims have equal rights to ask for legal action against Nupur sharma. Similarly we have rights to ask for legal action against person in same video who provoked Nupur Sharma by mocking the Shivling. Why no legal action against him is demanded ??","muslims","FAVOR"," Shivling","FAVOR"
"so much fuss is made about trans men's proximity to cis male toxicity, but continuing thru transition within a feminist framework without developing a robust trans politic engenders false materialism suggesting something inherently righteous about being assigned female","trans rights","FAVOR","trans men","FAVOR"
"After SC throws out case into lawyer Teesta Setalvad has been picked up by Gujarat ATS in Mumbai today. She is being held in Ahmedabad. Is legal activist terrorism?","arrest","FAVOR","Gujarat ATS","AGAINST"
"Symbolism for Swedish and Finnish Nato membership? Stockholm harbour June 3rd, 2022: The rainbow ends at a powerful US warship USS Kearsarge","sweden","FAVOR","Swedish and Finnish Nato membership","NONE"
"Dallas Cowboys Safety Markquese Bell, Florida A M University First NFL Preseason Game Saturday August 13th at Denver Broncos 9pm ET on NFL Network","nfl","FAVOR","Dallas Cowboys Safety","NONE"
"some writings on Medium are only about the upper class people having enlightenment from their vacation in somewhere costs 3000 ticket or realizing their medical insurance was worth a month off from work and start attending yoga classes. 2","health insurance","FAVOR","Medium","NONE"
"we are proud to partner with Roman not only for his accomplishments inside the ring but for the father and man he is outside the ring","gay rights","FAVOR","accomplishments inside the ring","FAVOR"
"When my Mom called with her covid news, she was surprised by how many ideas for how to get paxlovid I had ready to go. As if I didn't have an excel file with all the options... she says, you're really good at research, you could really do this kind of thing for a living. :","research","FAVOR","Covid News","NONE"
"I just realized that gardening follows Wright s Law too. These first tomatoes are about 40 each effectively. Prices will drop substantially as the summer goes on. : ARKInvest elonmusk","gardening","FAVOR","ARKInvest","NONE"
"FOCUSup! The BEST cognitive enhancer on the market ADVANCEDgg Clinically Proven Concentration Reaction Time Reduce Error Rates Clean Energy No Crash! Sugar free, Keto friendly,","smart drugs","FAVOR","Cognitive enhancer","FAVOR"
"A North Dakota coal plant that was reportedly going to shut down in 2022 is now being sold for a measly 1. These Minnesota shareholders say that s a bad deal, especially for the environment. insideclimatenews.org Plan to Save North Dakota Coal Plant Faces Intense Backlash from Minnesotans Who Would Help Pay for... In the next week, the boards of electric cooperative utilities across Minnesota will vote on whether to approve a plan to sell, rather than close, a North Dakota coal-fired power plant that has...","clean energy","FAVOR","North Dakota coal plant","NONE"
"GHANA FOOTBALL AWARDS Samuel Boadu of Accra Heart of Oak is crowned MEN S COACH OF THE YEAR x","football","FAVOR","Samuel Boadu","FAVOR"
"Teen titans go booster gold: From all reaction videos koby woby sheikahtribe Aug 13, 2022 0:13 sorry. sorry. SORRY. laughed","teen titans go booster gold","FAVOR","booster gold","FAVOR"
"Rebecca Welch has become the first female referee to be added to the English Football League's national group list for men's football. bbc.co.uk Rebecca Welch is first female referee added to EFL national list 45 174 1,689","women in sports","FAVOR","Rebecca Welch","NONE"
"NATIONAL CHAMPIONS! Eastern Connecticut State defeats Salisbury twice to claim their 5th NCAA DIII National Title EasternBSB","national championships","FAVOR","Salisbury","AGAINST"
"The term Terf is used with such reckless abandon that it just means anyone who doesn t show the upmost enthusiastic embrace of leftist gender ontology. That s literally most people on the planet.","trans people","AGAINST","abandon","AGAINST"
"Our players are still talking about their amazing experience last week when they met up with Steven Gerrard came face to face with the spfl trophy Our international student Adin was thrilled to be able to talk to Steven about his plans for the future SGA champion55","education","FAVOR","Steven Gerrard","FAVOR"
"Just watched SBS World News reporting on Labor s cabinet appointments etc. Wow! They just reported the facts. No abcnews tricks. No dodgy editorialising by News Corp alumni, or suck-hole","labor","FAVOR","Labor s cabinet appointments","NONE"
"Pak yforce successfully conducted an awareness session on Environmental Pollution Climate Change , held on 12th Feb 2022, at Ahsan Model Public School , Bannu Khyber Pakhtunkhwa. The session was led by Waseem Ahmed Khattak, a social activist, and education promoter. 1 1","climate change","FAVOR","Pak yforce","NONE"
"MATCHDAY! Cymru vs Ukraine World Cup play-off final 17:00 KO Cardiff City Stadium Caerdydd, Cymru The big one what are your predictions?","world cup","FAVOR","World Cup Play-off Final ","FAVOR"
"It's taken the Labor weeks to reach an agreement between the state fed energy ministers for a national clean energy transition plan. How wonderful to see adults in charge, showing the leadership that's been missing a definitive national action plan taking shape at last.","clean energy","FAVOR","state fed energy ministers ","NONE"
"100 he does some form of upper when he does interviews. Whether it be prescribed and abused or illegal drugs The following media includes potentially sensitive content. Change settings View","legalization of marijuana","FAVOR","interviews","NONE"
"TASS-News Agency,Deputy Head of the people,s Republic,s army Basurin:The Barbaric shelling of by started after the West delivered Heavy weapons to are shelling the with 155MM caliber artillery.","barbaric shelling","FAVOR","TASS-News Agency","NONE"
"Only 1 Republican voted against the teachers carry guns, being a former teacher, felt it was unnecessary. This is BULLSHIT!! After the Rittenhouse verdict today basically saying your white privilege lets you shoot whoever you want, can you imagine being a POC in a school with..","guns in schools","AGAINST","Rittenhouse","AGAINST"
"IF you want to. All mutually connected, all - boosting lower numbers. Have a great weekend realdillonroyal SkydanceAtheist BlueBabzz AngieTCHTTR basementvegan DebbieGypsySoul AcKansas HarperDJ","gay rights","FAVOR","SkydanceAtheist","NONE"
"Our New Jersey Women s Soccer Team kicked off the season right with a 1-0 win in the home opener! Luisa Barone scored the winning goal, with Shania Wright providing the assist! UWSLeague2","soccer","FAVOR"," New Jersey Women s Soccer Team","FAVOR"
"tw HEAVY amounts of racism, bullying, depression my thread on the nigerian-korean model han hyunmin and why people should support him 8 1,153 1,751","racism","FAVOR","han hyunmin","FAVOR"
"Highest season ticket prices in Europe, 60 a ticket for a cat C game after a year away. One of the best managers in the world interested in coming in to the club to win trophies and our owners are not ambitious enough.... Parasites. ENICOut LevyOut","Not Found","Not Found","ENICOut LevyOut","FAVOR"
"Blocked after I said I think Catholics following Libs of TicTok is probably an occasion of sin. The comments and aggression from him would lead you to believe that I had insulted the Perpetual virginity of the Blessed Virgin Mary. Be Saints, guys.","catholic","AGAINST","Catholics","AGAINST"
"Me making my NFL debut in week 78 after the entire receiving core is hospitalized nate gh0stsarentreal Jul 30 The NFL needs a 82 game season man","nfl","FAVOR","game season","FAVOR"
"Who in Washington D.C. is calling for the ATF to be abolished, and an end to all federal gun control? Everyone else is a gun grabber - and an enemy of the Constitution. It's just a difference of degree.","gun control","AGAINST","Washington D.C.","AGAINST"
"Humanity has just 4 yr to peak and start drawing down global greenhouse emissions, coal- and gas-fired power plants must shut down within a decade, and wealthy lifestyles and behaviors will have to change to avoid according to leaked draft wk group III.","climate change","FAVOR","coal- and gas-fired power plants","AGAINST"
"Scottish Parliament has passed a bill allowing some but not all trans people to obtain Gender Recognition Certificates without needing a doctor s permission. Once implemented it will be a positive, albeit small, step to trans equality. 1 3 18 521 7,887 167.8K","gender equality","FAVOR","Gender Recognition Certificates","FAVOR"
"Super Heavy Booster 7 with 33 Raptor engines installed was transported to the orbital launch pad at Starbase 692 2,866 23.3K","starbase","FAVOR","Super Heavy Booster 7","NONE"
"we wont reach gender equality in music until women can succeed while being legitimately bad at singing like all men in rock history 678 6,188 92.3K","equal rights for women","FAVOR","gender equality in music","FAVOR"
"Aerial views Of FIFA World Cup Qatar 2022 venue Aerial views of Lusail Stadium at sunrise in Lusail city, Qatar. The 80,000-seat stadium, designed by Foster Partners studio, will host the final of the FIFA World Cup Qatar 2022. Pics: David Ramos Getty Images FIFAWorldCup","world cup","FAVOR","Lusail Stadium","NONE"
"Dear Senators. Pls attend to the health issues of the country through legislation and oversight. Pandemic preparedness, implementation of UHC, reform of Philhealth. These are issues close to peoples hearts. Don't hold health hostage for political ambition. Pls put us first. 42 433 2,172","health care","FAVOR","Political Ambition","AGAINST"
"Biden has Janet Yellen keeping any Bank Records or Transactions of Hunter, James Joe Biden unavailable to anyone who wants to investigate deposits from China, Russia, Ukraine, etc.","biden","AGAINST","Janet Yellen","NONE"
"Dexter is over the moon with his new pen holder thank you Mr Fallon, Mr Bailey and Miss Bostwick for being on the ball for home schooling so quickly the same day.. top job ClassSheff20MPA MeadsteadPA MeadsteadHead AETAcademies","home schooling","FAVOR","Dexter","FAVOR"
"100 he does some form of upper when he does interviews. Whether it be prescribed and abused or illegal drugs The following media includes potentially sensitive content. Change settings View","drug use","FAVOR","Drugs","AGAINST"
"Prices are so ridiculous all over. Cyaa shop online, cyaa fly out, cyaa buy nutn a Jamaica. Jus a spend money pon overpriced food, 200 gas and Appleton 12 yr old. SMH","price of products","AGAINST","overpriced food","AGAINST"
"A vertical Wind Turbine that generates power from passing traffic seems to be the latest clean energy generator... This is in Istanbul, Turkey. Source: Eco.Medy, Insta page!","wind power","FAVOR","Wind Turbine ","FAVOR"
"History was made last night at the USA Softball Hall of Fame Complex in OKC In 2022, the softball national champions in NCAA Division I, NCAA Division II, and NAIA are all teams from Oklahoma! DI: UofOklahoma DII: RogersStateU NAIA: OKCU ALT","olympics","FAVOR","Softball National Champions","NONE"
"A vaccine doesn t deliver itself. It relies on dedicated health workers like Tilesa from Tuvalu, who travel long distances to reach children in remote communities with vaccines and a cold chain, which allows vaccines to stay at the right temperature.","vaccines","FAVOR","health workers","FAVOR"
"Over 50 massacred in a Church in Nigeria should really be the major world news headline of the day. It would be if it was in Europe or the US. May they RIP.","church shootings","AGAINST","Church in Nigeria","FAVOR"
"it's the racism towards leigh anne for me Sony Music UK SonyMusicUK Jun 10, 2021 It s the glow for us cc: LittleMix","racism","FAVOR","Sony Music","FAVOR"
"It's a strange situation when the majority of Irish people from all walks of life, from all political persuasions and none, vehemently oppose the the combined body politic government and opposition who have united to force their combined agenda against the will of the majority 24 86 272 5,445","gay marriage","AGAINST","majority of Irish people","AGAINST"
"Not recognizing or valuing oral history is a form of racism called epistemic racism where certain forms of knowledge are considered superior to others. 43 2,121 8,863","oral history","FAVOR","oral history","AGAINST"
"More RSSB Medical Insurance members are using telemedicine to avoid self diagnosis, self medication as well as save time. Call 8111 to check if you are registered.","medical insurance","FAVOR","telemedicine","FAVOR"
"Yes, our ""pro-life"" governor, who's arming all the citizens to the teeth, happily allowing children and their teachers to die en masse across the state, and not providing a functional electrical grid so we don't all freeze to death in our beds. shauna goldengateblond Sep 4, 2021 sorry can you speak up I can t hear you over all the baby-saving happening under the new state law 1","climate change","FAVOR","functional electrical grid","FAVOR"
"Kansas City Leaders Address the Drug Epidemic and Discuss Prevention Strategies scientologynews.org Kansas City Leaders Address the Drug Epidemic and Discuss Prevention Strategies In keeping with the purpose of International Day Against Drug Abuse and Illicit Trafficking, community leaders and officials gathered at the Church of Scientology Kansas City to coordinate action to...","drug abuse","FAVOR","Kansas City Leaders","NONE"
"Botha's 'Total strategy' was as much a reformulation of apartheid as a reform. Its purpose was to maintain white political hegemony while restructuring some aspects of the social and political order to counter the threat of revolutionary opposition - Nigel Worden Ramaphosa2021","black majority rule","AGAINST","Botha","NONE"
"NCAA track and field Championship Eugene Oregon North Carolina A T State University Paula Simon qualifying with the second best time 100m hurdles 12.68 NCAT Athletics","track and field","FAVOR","NCAT Athletics","NONE"
"BLM and Antifa are not the problem, Oath Keepers and Proud Boys are, drop a if you agree 2,255 1,835 13.3K","black lives matter","FAVOR","BLM and Antifa","FAVOR"
"Per the Texas Department of Agriculture, the Environmental Protection Agency is conducting an investigation into the Spartan Mosquito Eradicator. That's all I know. Not sure of timeline.","epa","FAVOR","Spartan Mosquito Eradicator","NONE"
"Tate ReachMorpheus has done more for masculinity, power, and life objectives than any politic, president, advisor, or man for the last 2000 years","gay rights","FAVOR","Tate","FAVOR"
"The 'invasion' is in our body politic: liars and swindlers stoking hatred and division. They arrived not in small boats, but cloaked in the flag and spouting 'sovereignty'. They have hijacked a party and hijacked the levers of state. Let these dark, chaotic weeks be their last. 55 961 2,940","climate change","AGAINST","chaotic weeks","NONE"
"I am trying to remind myself - Scotland Men s team qualifying for a major tournament is amazing, but it doesn t mean the SFA magically also become amazing. Remember, they gave Malky Mackay a job when no-one else would, after his racist text exchanges were published. TW: racism","scotland","AGAINST","SFA","FAVOR"
"Day 4 365 June 29th, 2021. Disney starwars You are not renaming Slave I. I have it tattooed on my body. It's Slave I. It's not offensive. This will continue for relevance for at least 1 year. 1","disney","FAVOR","Disney starwars","NONE"
"for Pride month I want all my queer Asian family to please love ourselves more and stop giving so much space to unqueer Asian men whose only personality trait ""politic"" is their entitlement to dating fucking women, we deserve better than that","asian american","FAVOR","Queer Asian family","FAVOR"
"As I begin my shift on the Clyde docks etc, indebted to ClothingHugh 916 stevo for this exceptionally warm beanie. Solidarity to all fighting through this freezing Sydney climate change event.","climate change","FAVOR","Clyde docks","NONE"
"So for those homeschooling their children. When you start talking to yourself, is it considered crazy or a parent teacher conference?","homeschooling","FAVOR","those homeschooling their children","AGAINST"
"Catherine Murphy says ""the new NMH is the most significant investment in decades in women's healthcare. We have to get this right."" It's unthinkable that this generation's and future generations' reproductive health will be overseen by the Catholic Church. Holly Cairns TD HollyCairnsTD Jun 22, 2021 We fought hard to repeal the 8th - we cannot allow our to be gifted to a religious entity which will restrict our access to reproductive health care. The SocDems are bringing a motion to the D il tomorrow - please share and contact your TDs .","abortion","FAVOR","Catholic Church","AGAINST"
"TASS-News Agency,Deputy Head of the people,s Republic,s army Basurin:The Barbaric shelling of by started after the West delivered Heavy weapons to are shelling the with 155MM caliber artillery.","weapons","FAVOR","Republic","NONE"
"GPT-3 Prompt: Reveal a unique insight as a one sentence opener for the essay: Four Popular AI Writing Tools That Prevents You From Writer's Block. Output: Use of AI writing tools can help prevent writer's block by providing assistance with brainstorming, organization writing.","ai","FAVOR","Writer's Block","AGAINST"
"One of the post covid diseases is the emergence of diabetes in patients that weren't diabetic. It just so happens that allowing COVID-19 to spread the is really profitable for political donors.","covid","AGAINST","political donors","AGAINST"
"Can WWE EmberMoon overcome the dominant RaquelWWE to become a two-time Women s Champion? Find out TONIGHT at In Your House!","wwe","FAVOR","RaquelWWE ","FAVOR"
"Yes, how long until we stop catering to the fearmongering ""gun control"" extremists and allow those teachers who want to carry the tools they could use to effectively defend themselves and their students, rather than relying on improvised nonsense? ""Gun free"" zones kill. LanceUSA70 Dec 7, 2021 Let this sink in for a minute.","gun control","FAVOR","""Gun free"" zones","AGAINST"
"in a better version of the world we left fascism dead in the 20th century, fixed climate change, and i spend my summers hunting for Nessie and my winters in NorCal hunting bigfoot Tyler Greenfield TylerGreenfieId Jun 2 A living toad 325 feet deep at the bottom of Loch Ness. Show this thread 37 100 1,902","climate change","FAVOR","Nessie","FAVOR"
"National Center for Science Education, Environmental Protection Agency, United Nations. What do they all have in common? They ve all awarded ACE and its fellows recognition for their outstanding climate education and advocacy work. ourclimateourfuture.org Our Climate Our Future A climate education video experience Our Climate Our Future is an award-winning video experience that educates young people on the science of climate change and empowers them to take action.","climate change","FAVOR","National Center for Science Education","FAVOR"
"Let's talk about tangible progress and not just progressivism. I've always liked Newsom, but this past week solidified it. We now have universal vote by mail, big law enforcement reform, more action on the homeless crisis and the Bruce family finally was properly compensated. 35 259 1,402","california","FAVOR","Homeless Crisis","AGAINST"
"1. You are a beneficiary of private medical insurance worth 10 million. 2 A quick search of the hansard indicates that you have never raised these issues on the floor of the house or Parliament Departmental committees. 3. Where is your memorandum on the NHIF Bill, 2021? Hon. George Peter Kaluma gpdkaluma Jun 2, 2021 Why should private hospitals like Aga Khan, Nairobi Hospital have better facilities, drugs and services than Government Hospitals like Kenyatta National Hospital! Why do we use public funds to cover public servants in private insurance firms and treat them in private hospitals!","private health care","AGAINST","Government Hospitals","AGAINST"
"is starting to pump again! Fill your bags... these discounted prices won't last long mark our words!","new year","FAVOR","bags","FAVOR"
"Pop Culture Addicts pcapodshow brings you interviews and discussions with people in the pop culture world. Hosts Tim Beisiegel and Kathleen Wass talk about movies, music, video games etc. with established musicians, filmmakers, pop culture figures and much more. Featured today!","pop culture","FAVOR","Kathleen Wass","NONE"
"is not only the best fanbase in the NFL but possibly any sport They got my back and I got theirs. - Josh Allen, QB1 5 92 1,348","fan","FAVOR","Josh Allen","NONE"
"Was playing WWE 2K20 with my 4 year old and she went for a pin within a minute. Being the nice dad I am I didn t kick out. When she asked why she won so quickly, I explained to her how daddy wasn t buried just because of one loss and that she the IWC was just being dramatic.","wwe","FAVOR","IWC","AGAINST"
"Sadly I have to say ivermectin will never get approved as a treatment for the 'pathogen' as the emergency authorisation for the jab would then have to go, and we can't have that can we. It's doesn't suit Klaus, Gates, Fauci and their handlers","emergency use of vaccines","AGAINST","ivermectin","AGAINST"
"Ranboo met Hannah Kate, the person doing the tiktok dance chain! From piso4 supremacy called trash by george 6 128 1,429","met hannah kate","FAVOR","piso4 supremacy","NONE"
"crisis pregnancy center funded by evangelical Christian organizations which discriminate against LGBTQ people and also distribute anti-abortion misinformation and propaganda to the local area. Good Asheville Blade AvlBlade Jun 7 ""If abortions aren't safe neither are you"" Graffiti and busted windows on far-right ""crisis pregnancy center"" Mountain Area Pregnancy Services in West Asheville Show this thread","crisis pregnancy centers","AGAINST","Anti-abortion misinformation","AGAINST"
"And a place at the U20 World Cup in Indonesia next year too. England England Jun 22, 2022 Two wins from two at the finals for our who secure a semi-final spot with a game to spare Show this thread ALT","soccer","FAVOR","U20 World Cup","FAVOR"
"China-based Empire Cement s McCarthy Hills cement plant in Accra was shut down by Ghana s Environmental Protection Agency for operating without a permit after protests from local residents concerned that the plant would contaminate their water.","pollution","FAVOR","Ghana s Environmental Protection Agency","NONE"
"man i can t wait till nba youngboy go back on the road to do shows 13 356 1,827 87.6K","concerts","FAVOR","road","FAVOR"
"Powerhouse session with public education leaders and advocates of pastors4txkids JustFundItTX TXParentPAC TxEdVote TAMSATX Thank you for fighting for and defending LeasorCrassPC","leasor crass pc","FAVOR","public education leaders","FAVOR"
"1 14 MidEast, Central Asia Update: Iran Releases Animated Video Showing Drone Strike on Trump's Residence UN chief warns 1,000,000's of Afghans are on verge of death 4 rockets target US Embassy in Baghdad Syria Joins China s Belt and Road Initiative","drone strike","FAVOR","China s Belt and Road Initiative","NONE"
"Meeting China s Space Challenge heritage.org Meeting China s Space Challenge The Heritage Foundation The United States faces its greatest space competitor since the dawn of the Space Age in the form of the People s Republic of China PRC . In order to secure its interests, both terrestrially and in...","china","FAVOR"," Heritage Foundation ","FAVOR"
"Land allocated for privately owned livestock on public lands is in green. Land allocated for federally protected wild horses and burros in orange. Don t believe the BLM lies about horses being overpopulated and destroying the range. The horse s land is shared with livestock. 5 75 80 2,078","land","FAVOR","wild horses and burros","FAVOR"
"""Muslim women workers! The tsars, beis and khans took away your rights. You were a slave in the government, at the factory, at home. Soviet rule gave you equal rights, tearing away the chains that bound you"" - 1921 Soviet poster 7 357 1,504","equal rights","FAVOR","Soviet rule","FAVOR"
"While not a Neil Zee level shot, pretty stoked with the way this IPhone picture turned out! Taken this morning in Northern Alberta as we began our trip home.","climate change","FAVOR","IPhone picture","FAVOR"
"Spare shift from home today. I've revised the rulebook updates so thought I'd go over departure procedures using this handy prop.","air travel","FAVOR","Rulebook Updates","NONE"
"The Irish close the deal as they upset Vol Baseball : yes NDBaseball heading to the NCAA World Series . Here come THE IRISH BABY !","irish","FAVOR","NCAA World Series","FAVOR"
"More than 560 illegal migrants reached the UK over the weekend telegraph.co.uk Illegal channel migrants threaten mob unrest on arrival over housing delays The record numbers of illegal migrants expect to be moved quickly to their accommodation, says Border Force union","migrant crisis","AGAINST","unrest","AGAINST"
